0-69	0-69	70-74	70-74	75-79	75-79	80-84	80-84	85-100	85-100
0	84	0	77	0	69	0	72	0	69
1	84	1	77	1	69	1	72	1	69
2	84	2	77	2	69	2	72	2	69
3	84	3	77	3	69	3	72	3	69
4	84	4	76	4	69	4	72	4	69
5	83	5	76	5	68	5	72	5	69
6	83	6	76	6	68	6	72	6	68
7	82	7	75	7	67	7	71	7	68
8	81	8	74	8	67	8	70	8	67
9	79	9	72	9	66	9	68	9	65
10	76	10	70	10	64	10	66	10	64
11	72	11	67	11	62	11	63	11	61
12	68	12	64	12	59	12	60	12	58
13	62	13	59	13	55	13	55	13	53
14	54	14	53	14	51	14	49	14	48
15	44	15	45	15	45	15	42	15	41
