19	19bis	24	24bis	34	34bis	54	54bis	69	69bis	100	100bis
0.5	1	0.5	1	0.5	1	0.5	1	0.5	1	0.5	2
1	1	1	1	1	1	1	1	1	1	1	3
2	1	2	1	2	1	2	1	2	2	2	4
3	1	3	1	3	1	3	1	3	2	3	4
4	1	4	1	4	1	4	1	4	3	4	5
5	1	5	1	5	1	5	1	5	3	5	6
6	1	6	1	6	1	6	1	6	4	6	6
7	1	7	1	7	1	7	1	7	4	7	6
8	1	8	1	8	1	8	1	8	4	8	7
9	1	9	1	9	1	9	1	9	4	9	7
10	1	10	1	10	1	10	2	10	5	10	7
11	1	11	2	11	2	11	3	11	6	11	8
12	1	12	2	12	3	12	5	12	7	12	9
13	1	13	2	13	3	13	5	13	7	13	9
14	1	14	2	14	3	14	5	14	7	14	9
15	1	15	2	15	3	15	5	15	7	15	10
16	1	16	3	16	4	16	5	16	8	16	11
17	1	17	3	17	4	17	6	17	8	17	11
18	2	18	3	18	4	18	6	18	8	18	11
19	2	19	3	19	4	19	6	19	8	19	11
20	3	20	3	20	4	20	6	20	9	20	12
21	3	21	4	21	4	21	6	21	9	21	12
22	3	22	4	22	4	22	6	22	9	22	12
23	3	23	4	23	4	23	6	23	9	23	12
24	4	24	4	24	5	24	7	24	10	24	12
25	4	25	4	25	5	25	7	25	10	25	12
26	4	26	4	26	5	26	7	26	10	26	13
27	5	27	4	27	5	27	7	27	10	27	13
28	5	28	4	28	5	28	8	28	11	28	14
29	5	29	5	29	5	29	8	29	11	29	14
30	5	30	6	30	6	30	8	30	11	30	15
31	6	31	6	31	6	31	9	31	11	31	15
32	6	32	6	32	6	32	9	32	11	32	15
33	6	33	7	33	7	33	9	33	12	33	15
34	6	34	7	34	7	34	9	34	12	34	15
35	7	35	7	35	7	35	10	35	12	35	15
36	7	36	7	36	8	36	10	36	12	36	15
37	7	37	8	37	8	37	10	37	12	37	15
38	8	38	8	38	8	38	10	38	13	38	15
39	8	39	8	39	8	39	10	39	13	39	16
40	8	40	8	40	9	40	11	40	13	40	16
41	8	41	8	41	9	41	11	41	13	41	16
42	9	42	9	42	9	42	11	42	13	42	16
43	9	43	9	43	9	43	11	43	13	43	16
44	9	44	9	44	10	44	11	44	14	44	16
45	10	45	10	45	10	45	12	45	14	45	16
46	10	46	10	46	10	46	12	46	14	46	17
47	10	47	10	47	10	47	12	47	14	47	17
48	10	48	10	48	11	48	12	48	15	48	17
49	11	49	11	49	11	49	12	49	15	49	17
50	11	50	11	50	11	50	13	50	15	50	18
51	11	51	11	51	11	51	13	51	15	51	19
52	11	52	12	52	12	52	13	52	16	52	19
53	12	53	12	53	12	53	14	53	16	53	19
54	12	54	12	54	12	54	14	54	16	54	19
55	12	55	13	55	13	55	14	55	16	55	19
56	13	56	13	56	13	56	15	56	16	56	19
57	13	57	13	57	13	57	15	57	17	57	19
58	13	58	13	58	13	58	15	58	18	58	19
59	13	59	14	59	14	59	16	59	18	59	19
60	13	60	14	60	14	60	16	60	19	60	19
61	14	61	14	61	14	61	17	61	19	61	19
62	14	62	15	62	14	62	18	62	19	62	19
63	15	63	16	63	15	63	18	63	19	63	19
64	15	64	17	64	16	64	19	64	19	64	19
65	15	65	18	65	16	65	19	65	19	65	19
66	16	66	19	66	17	66	19	66	19	66	19
67	18	67	19	67	18	67	19	67	19	67	19
68	19	68	19	68	19	68	19	68	19	68	19
