0-49	0-49	50-56	50-56	57-59	57-59	60-62	60-62	63-65	63-65	66-68	66-68	69-71	69-71	72-74	72-74	75-77	75-77	78-80	78-80	81-100	81-100
0	2	0	2	0	2	0	2	0	3	0	3	0	2	0	2	0	3	0	3	0	4
1	2	1	2	1	2	1	2	1	3	1	3	1	2	1	2	1	3	1	3	1	4
2	2	2	2	2	2	2	2	2	3	2	3	2	2	2	2	2	3	2	3	2	4
3	2	3	2	3	2	3	2	3	3	3	3	3	2	3	2	3	3	3	3	3	4
4	2	4	2	4	2	4	2	4	3	4	3	4	2	4	2	4	3	4	3	4	4
5	2	5	2	5	2	5	2	5	3	5	3	5	2	5	2	5	3	5	3	5	4
6	2	6	2	6	2	6	2	6	3	6	3	6	2	6	2	6	3	6	3	6	4
7	2	7	2	7	2	7	2	7	3	7	3	7	2	7	2	7	3	7	3	7	4
8	2	8	2	8	2	8	2	8	3	8	3	8	3	8	3	8	5	8	5	8	4
9	2	9	2	9	2	9	2	9	3	9	3	9	3	9	3	9	5	9	5	9	4
10	2	10	2	10	3	10	3	10	4	10	4	10	5	10	4	10	5	10	5	10	4
11	3	11	4	11	5	11	5	11	6	11	5	11	5	11	5	11	5	11	6	11	5
12	4	12	5	12	6	12	6	12	6	12	6	12	6	12	6	12	6	12	7	12	7
13	5	13	7	13	7	13	7	13	7	13	7	13	7	13	7	13	7	13	7	13	8
14	5	14	7	14	8	14	8	14	8	14	8	14	8	14	8	14	8	14	9	14	9
15	6	15	8	15	9	15	9	15	9	15	9	15	9	15	9	15	9	15	10	15	10
16	7	16	9	16	9	16	10	16	10	16	10	16	10	16	10	16	10	16	10	16	10
17	9	17	10	17	11	17	11	17	10	17	11	17	11	17	11	17	11	17	11	17	11
18	10	18	12	18	12	18	12	18	12	18	12	18	12	18	13	18	13	18	13	18	13
19	13	19	14	19	14	19	14	19	14	19	14	19	13	19	14	19	14	19	15	19	15
20	18	20	18	20	18	20	18	20	18	20	18	20	18	20	18	20	18	20	18	20	18
