50	50bis	56	56bis	59	59bis	62	62bis	65	65bis	68	68bis	71	71bis	74	74bis	77	77bis	80	80bis	100	100bis
0.5	2	0.5	2	0.5	2	0.5	2	0.5	2	0.5	2	0.5	2	0.5	2	0.5	2	0.5	2	0.5	2
1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2
2	2	2	3	2	5	2	5	2	5	2	5	2	5	2	5	2	6	2	6	2	7
3	7	3	9	3	9	3	9	3	10	3	9	3	10	3	10	3	10	3	10	3	10
4	8	4	10	4	10	4	11	4	11	4	11	4	12	4	12	4	12	4	12	4	12
5	11	5	13	5	13	5	14	5	14	5	14	5	14	5	14	5	14	5	14	5	14
6	13	6	15	6	15	6	15	6	18	6	18	6	17	6	17	6	17	6	17	6	18
7	15	7	18	7	18	7	18	7	18	7	18	7	18	7	18	7	18	7	18	7	18
8	18	8	18	8	18	8	18	8	18	8	18	8	18	8	18	8	18	8	18	8	18
9	18	9	18	9	18	9	18	9	18	9	18	9	18	9	18	9	18	9	18	9	18
