50	50bis	56	56bis	59	59bis	62	62bis	65	65bis	68	68bis	71	71bis	74	74bis	77	77bis	80	80bis	100	100bis
0.5	2	0.5	2	0.5	2	0.5	2	0.5	2	0.5	2	0.5	2	0.5	2	0.5	2	0.5	2	0.5	2
1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
3	3	3	2	3	2	3	2	3	2	3	4	3	4	3	4	3	3	3	3	3	2
4	4	4	5	4	6	4	7	4	7	4	8	4	8	4	7	4	7	4	7	4	8
5	8	5	9	5	10	5	10	5	10	5	10	5	10	5	10	5	10	5	10	5	11
6	10	6	11	6	12	6	12	6	13	6	13	6	13	6	13	6	13	6	13	6	13
7	13	7	14	7	14	7	14	7	15	7	15	7	15	7	15	7	16	7	17	7	18
8	15	8	15	8	16	8	16	8	16	8	17	8	17	8	17	8	17	8	18	8	18
9	18	9	18	9	18	9	18	9	18	9	18	9	18	9	18	9	18	9	18	9	18
