0-49	0-49	50-56	50-56	57-59	57-59	60-62	60-62	63-65	63-65	66-68	66-68	69-71	69-71	72-74	72-74	75-77	75-77	78-80	78-80	81-100	81-100
0	2	0	2	0	2	0	2	0	2	0	2	0	5	0	5	0	3	0	6	0	4
1	2	1	2	1	2	1	2	1	2	1	2	1	5	1	5	1	3	1	6	1	4
2	2	2	2	2	2	2	2	2	2	2	2	2	5	2	5	2	3	2	6	2	4
3	2	3	2	3	2	3	2	3	2	3	2	3	5	3	5	3	3	3	6	3	4
4	2	4	2	4	2	4	2	4	2	4	2	4	5	4	5	4	3	4	6	4	4
5	2	5	2	5	2	5	2	5	2	5	2	5	5	5	5	5	3	5	6	5	4
6	2	6	2	6	2	6	2	6	2	6	2	6	5	6	5	6	3	6	6	6	4
7	2	7	2	7	2	7	2	7	2	7	2	7	5	7	5	7	3	7	6	7	4
8	2	8	2	8	2	8	2	8	2	8	2	8	5	8	5	8	3	8	6	8	4
9	2	9	2	9	2	9	2	9	2	9	2	9	5	9	5	9	3	9	6	9	4
10	2	10	2	10	2	10	2	10	2	10	2	10	5	10	5	10	3	10	6	10	4
11	2	11	2	11	2	11	2	11	2	11	2	11	5	11	5	11	3	11	6	11	4
12	2	12	5	12	2	12	2	12	2	12	2	12	5	12	5	12	3	12	6	12	4
13	2	13	5	13	2	13	2	13	2	13	2	13	5	13	5	13	3	13	6	13	4
14	2	14	5	14	6	14	3	14	5	14	5	14	5	14	5	14	3	14	6	14	6
15	2	15	5	15	6	15	3	15	5	15	5	15	5	15	5	15	3	15	6	15	6
16	2	16	5	16	6	16	3	16	5	16	5	16	5	16	5	16	3	16	6	16	6
17	2	17	5	17	6	17	5	17	6	17	6	17	6	17	5	17	6	17	6	17	6
18	4	18	6	18	6	18	6	18	7	18	6	18	6	18	6	18	6	18	6	18	7
19	6	19	8	19	8	19	8	19	8	19	8	19	8	19	8	19	8	19	9	19	8
20	18	20	18	20	18	20	18	20	18	20	18	20	18	20	18	20	18	20	18	20	8
																					
