0-49	0-49	50-56	50-56	57-59	57-59	60-62	60-62	63-65	63-65	66-68	66-68	69-71	69-71	72-74	72-74	75-77	75-77	78-80	78-80	81-100	81-100
0.5	2	0.5	2	0.5	2	0.5	2	0.5	2	0.5	2	0.5	2	0.5	2	0.5	2	0.5	2	0.5	2
1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2
4	2	4	2	4	2	4	2	4	2	4	2	4	2	4	2	4	2	4	2	4	2
5	2	5	2	5	2	5	2	5	2	5	2	5	2	5	2	5	2	5	2	5	2
6	2	6	2	6	2	6	2	6	2	6	2	6	2	6	2	6	2	6	2	6	2
7	2	7	2	7	2	7	2	7	2	7	2	7	2	7	3	7	4	7	5	7	2
8	2	8	2	8	4	8	4	8	3	8	3	8	3	8	4	8	5	8	5	8	4
9	2	9	2	9	4	9	4	9	3	9	5	9	5	9	5	9	5	9	6	9	5
10	2	10	2	10	4	10	4	10	3	10	5	10	5	10	5	10	6	10	6	10	6
11	2	11	4	11	5	11	5	11	5	11	5	11	6	11	6	11	7	11	6	11	6
12	3	12	4	12	5	12	6	12	6	12	6	12	7	12	7	12	7	12	8	12	6
13	3	13	5	13	6	13	6	13	7	13	7	13	7	13	7	13	8	13	8	13	8
14	4	14	6	14	6	14	7	14	7	14	8	14	8	14	8	14	9	14	9	14	9
15	5	15	7	15	7	15	8	15	8	15	8	15	9	15	9	15	9	15	10	15	10
16	5	16	8	16	8	16	8	16	8	16	9	16	9	16	9	16	10	16	10	16	10
17	6	17	8	17	8	17	9	17	9	17	10	17	10	17	10	17	10	17	10	17	11
18	7	18	9	18	9	18	9	18	10	18	10	18	10	18	10	18	10	18	11	18	11
19	7	19	9	19	10	19	10	19	10	19	10	19	11	19	11	19	11	19	12	19	13
20	8	20	10	20	10	20	10	20	10	20	11	20	11	20	11	20	12	20	12	20	14
21	9	21	10	21	10	21	11	21	11	21	11	21	11	21	12	21	12	21	13	21	16
22	9	22	11	22	11	22	11	22	11	22	12	22	12	22	12	22	13	22	14	22	16
23	10	23	11	23	11	23	11	23	12	23	12	23	12	23	12	23	13	23	14	23	18
24	10	24	12	24	12	24	12	24	12	24	13	24	13	24	13	24	13	24	14	24	18
25	11	25	12	25	12	25	12	25	13	25	14	25	14	25	14	25	14	25	14	25	18
26	11	26	12	26	12	26	12	26	13	26	14	26	14	26	14	26	14	26	15	26	18
27	12	27	13	27	13	27	13	27	14	27	14	27	15	27	15	27	15	27	15	27	18
28	12	28	13	28	13	28	13	28	14	28	15	28	15	28	15	28	16	28	18	28	18
29	13	29	13	29	13	29	13	29	14	29	15	29	15	29	16	29	17	29	18	29	18
30	13	30	14	30	14	30	14	30	14	30	17	30	16	30	17	30	18	30	18	30	18
31	14	31	14	31	14	31	14	31	16	31	17	31	17	31	18	31	18	31	18	31	18
32	15	32	15	32	14	32	14	32	16	32	17	32	17	32	18	32	18	32	18	32	18
33	15	33	17	33	16	33	16	33	16	33	17	33	17	33	18	33	18	33	18	33	18
34	16	34	18	34	17	34	17	34	17	34	18	34	18	34	18	34	18	34	18	34	18
35	16	35	18	35	18	18	18	35	18	35	18	35	18	35	18	35	18	35	18	35	18
36	16	36	18	36	18	36	18	36	18	36	18	36	18	36	18	36	18	36	18	36	18
37	17	37	18	37	18	37	18	37	18	37	18	37	18	37	18	37	18	37	18	37	18
38	18	38	18	38	18	38	18	38	18	38	18	38	18	38	18	38	18	38	18	38	18
39	18	39	18	39	18	39	18	39	18	39	18	39	18	39	18	39	18	39	18	39	18
40	18	40	18	40	18	40	18	40	18	40	18	40	18	40	18	40	18	40	18	40	18
41	18	41	18	41	18	41	18	41	18	41	18	41	18	41	18	41	18	41	18	41	18
42	18	42	18	42	18	42	18	42	18	42	18	42	18	42	18	42	18	42	18	42	18
