PD	PT
0	20
1	20
2	20
3	20
4	20
5	20
6	20
7	20
8	20
9	20
10	20
11	20
12	20
13	20
14	20
15	20
16	20
17	20
18	20
19	20
20	24
21	25
22	29
23	30
24	31
25	32
26	33
27	33
28	34
29	35
30	37
31	37
32	39
33	39
34	41
35	41
36	45
37	45
38	45
39	45
40	50
41	50
42	55
43	55
44	55
45	58
46	58
47	58
48	58
49	58
50	58
51	58
52	58
53	58
54	58
55	58
56	67
57	67
58	67
59	67
60	67
61	67
62	67
63	67
64	67
65	67
66	67
67	67
68	67
69	67
70	67
71	67
72	67
73	67
74	67
75	67
76	67
77	67
78	67
79	67
80	67
81	67
82	67
83	67
84	67
85	67
86	67
87	67
88	67
89	67
90	67
91	67
92	67
93	67
94	67
95	67
96	67
97	67
98	67
99	67
100	67
101	67
102	67
103	67
104	67
105	67
106	67
107	67
108	67
109	67
110	67
111	67
112	67
113	67
114	67
115	67
116	67
117	67
118	67
119	67
120	67
121	67
122	67
123	67
124	67
125	67
126	67
127	67
128	67
129	67
130	67
131	67
132	67
133	67
134	67
135	67
136	67
137	67
138	67
139	67
140	67
141	67
142	67
143	67
144	67
145	67
146	67
147	67
148	67
149	67
150	67
151	67
152	67
153	67
154	67
155	67
156	67
157	67
158	67
159	67
160	67
161	67
162	67
163	67
164	67
165	67
166	67
167	67
168	67
169	67
170	67
171	67
172	67
173	67
174	67
175	67
176	67
177	67
178	67
179	67
180	67
181	67
182	67
183	67
184	67
185	67
186	67
187	67
188	67
189	67
190	67
191	67
192	67
193	67
194	67
195	67
196	67
197	67
198	67
199	67
200	67
201	67
202	67
203	67
204	67
205	67
206	67
207	67
208	67
209	67
210	67
211	67
212	67
213	67
214	67
215	67
216	67
217	67
218	67
219	67
220	67
221	67
222	67
223	67
224	67
225	67
226	67
227	67
228	67
229	67
230	67
231	67
232	67
233	67
234	67
235	67
236	67
237	67
238	67
239	67
240	67
241	67
242	67
243	67
244	67
245	67
246	67
247	67
248	67
249	67
250	67
251	67
252	67
253	67
254	67
255	67
256	67
257	67
258	67
259	67
260	67
261	67
262	67
263	67
264	67
265	67
266	67
267	67
268	67
269	67
270	67
271	67
272	67
273	67
274	67
275	67
276	67
277	67
278	67
279	67
280	67
281	67
282	67
283	67
284	67
285	67
286	67
287	67
288	67
289	67
290	67
291	67
292	67
293	67
294	67
295	67
296	67
297	67
298	67
299	67
300	67
