0-49	0-49	50-56	50-56	57-59	57-59	60-62	60-62	63-65	63-65	66-68	66-68	69-71	69-71	72-74	72-74	75-77	75-77	78-80	78-80	81-100	81-100
0.1	2	0.1	2	0.1	2	0.1	2	0.1	2	0.1	2	0.1	2	0.1	2	0.1	2	0.1	2	0.1	2
0.5	2	0.5	2	0.5	2	0.5	2	0.5	2	0.5	2	0.5	2	0.5	2	0.5	2	0.5	2	0.5	2
1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2
1.5	2	1.5	2	1.5	2	1.5	2	1.5	2	1.5	2	1.5	2	1.5	2	1.5	2	1.5	2	1.5	2
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
2.5	2	2.5	2	2.5	2	2.5	2	2.5	2	2.5	2	2.5	2	2.5	2	2.5	2	2.5	2	2.5	2
3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2
3.5	2	3.5	2	3.5	2	3.5	2	3.5	2	3.5	2	3.5	2	3.5	2	3.5	2	3.5	2	3.5	2
4	2	4	2	4	2	4	2	4	2	4	2	4	2	4	2	4	2	4	2	4	2
4.5	2	4.5	2	4.5	2	4.5	2	4.5	2	4.5	2	4.5	2	4.5	2	4.5	2	4.5	2	4.5	2
5	2	5	2	5	2	5	2	5	2	5	2	5	2	5	2	5	2	5	2	5	2
5.5	2	5.5	2	5.5	2	5.5	2	5.5	2	5.5	2	5.5	2	5.5	2	5.5	2	5.5	2	5.5	2
6	2	6	2	6	2	6	2	6	2	6	2	6	2	6	2	6	2	6	2	6	2
6.5	2	6.5	2	6.5	2	6.5	2	6.5	2	6.5	2	6.5	2	6.5	2	6.5	2	6.5	2	6.5	2
7	2	7	2	7	2	7	2	7	2	7	2	7	2	7	2	7	2	7	2	7	2
7.5	2	7.5	2	7.5	2	7.5	2	7.5	2	7.5	2	7.5	2	7.5	2	7.5	2	7.5	2	7.5	2
8	2	8	2	8	2	8	2	8	2	8	2	8	2	8	2	8	2	8	2	8	2
8.5	2	8.5	2	8.5	2	8.5	2	8.5	2	8.5	2	8.5	2	8.5	2	8.5	2	8.5	2	8.5	2
9	2	9	2	9	2	9	2	9	2	9	2	9	2	9	2	9	2	9	2	9	2
9.5	2	9.5	2	9.5	2	9.5	2	9.5	2	9.5	2	9.5	2	9.5	2	9.5	2	9.5	2	9.5	2
10	2	10	2	10	2	10	2	10	2	10	2	10	2	10	2	10	2	10	2	10	4
10.5	2	10.5	2	10.5	2	10.5	2	10.5	2	10.5	2	10.5	2	10.5	2	10.5	2	10.5	2	10.5	5
11	2	11	2	11	2	11	2	11	2	11	2	11	2	11	2	11	3	11	3	11	5
11.5	2	11.5	2	11.5	2	11.5	2	11.5	2	11.5	2	11.5	2	11.5	2	11.5	4	11.5	5	11.5	6
12	2	12	2	12	2	12	2	12	2	12	2	12	2	12	2	12	4	12	5	12	6
12.5	2	12.5	2	12.5	2	12.5	2	12.5	2	12.5	3	12.5	3	12.5	3	12.5	5	12.5	5	12.5	6
13	2	13	2	13	2	13	2	13	2	13	3	13	3	13	3	13	5	13	5	13	6
13.5	2	13.5	3	13.5	3	13.5	3	13.5	3	13.5	3	13.5	3	13.5	4	13.5	5	13.5	5	13.5	7
14	2	14	3	14	3	14	3	14	3	14	3	14	3	14	4	14	5	14	5	14	7
14.5	2	14.5	4	14.5	4	14.5	4	14.5	3	14.5	4	14.5	4	14.5	5	14.5	5	14.5	5	14.5	7
15	2	15	4	15	4	15	4	15	3	15	4	15	4	15	5	15	5	15	5	15	7
15.5	2	15.5	4	15.5	4	15.5	4	15.5	3	15.5	5	15.5	5	15.5	5	15.5	6	15.5	5	15.5	7
16	2	16	4	16	4	16	4	16	3	16	5	16	5	16	5	16	6	16	5	16	7
16.5	2	16.5	4	16.5	4	16.5	4	16.5	3	16.5	5	16.5	5	16.5	5	16.5	6	16.5	6	16.5	7
