edad	grupo
18	1
19	1
20	3
21	3
22	3
23	3
24	3
25	5
26	5
27	5
28	5
29	5
30	7
31	7
32	7
33	7
34	7
35	9
36	9
37	9
38	9
39	9
40	9
41	9
42	9
43	9
44	9
45	11
46	11
47	11
48	11
49	11
50	11
51	11
52	11
53	11
54	11
55	13
56	13
57	13
58	13
59	13
60	13
61	13
62	13
63	13
64	13
65	15
66	15
67	15
68	15
69	15
70	17
71	17
72	17
73	17
74	17
75	19
76	19
77	19
78	19
79	19
80	21
81	21
82	21
83	21
84	21
85	23
86	23
87	23
88	23
89	23
90	23
91	23
92	23
93	23
94	23
95	23
96	23
97	23
98	23
99	23
100	23
