edad	grupo
18	1
19	1
20	1
21	1
22	1
23	1
24	1
25	1
26	1
27	1
28	1
29	1
30	1
31	1
32	1
33	1
34	1
35	1
36	1
37	1
38	1
39	1
40	1
41	1
42	1
43	1
44	1
45	1
46	1
47	1
48	1
49	1
50	3
51	3
52	3
53	3
54	3
55	3
56	3
57	5
58	5
59	5
60	7
61	7
62	7
63	9
64	9
65	9
66	11
67	11
68	11
69	13
70	13
71	13
72	15
73	15
74	15
75	17
76	17
77	17
78	19
79	19
80	19
81	21
82	21
83	21
84	21
85	21
86	21
87	21
88	21
89	21
90	21
91	21
92	21
93	21
94	21
95	21
96	21
97	21
98	21
99	21
100	21
