edad	grupo
18	2
19	2
20	2
21	2
22	2
23	2
24	2
25	2
26	2
27	2
28	2
29	2
30	2
31	2
32	2
33	2
34	2
35	2
36	2
37	2
38	2
39	2
40	2
41	2
42	2
43	2
44	2
45	2
46	2
47	2
48	2
49	2
50	7
51	7
52	7
53	7
54	7
55	7
56	7
57	12
58	12
59	12
60	17
61	17
62	17
63	22
64	22
65	22
66	27
67	27
68	27
69	32
70	32
71	32
72	37
73	37
74	37
75	42
76	42
77	42
78	47
79	47
80	47
81	52
82	52
83	52
84	52
85	52
86	52
87	52
88	52
89	52
90	52
91	52
92	52
93	52
94	52
95	52
96	52
97	52
98	52
99	52
100	52
