0-49	0-49	50-56	50-56	57-59	57-59	60-62	60-62	63-65	63-65	66-68	66-68	69-71	69-71	72-74	72-74	75-77	75-77	78-80	78-80	81-100	81-100
0	2	0	2	0	2	0	3	0	4	0	3	0	4	0	3	0	4	0	5	0	4
1	2	1	2	1	2	1	3	1	4	1	3	1	4	1	3	1	4	1	5	1	4
2	2	2	2	2	2	2	3	2	4	2	3	2	4	2	3	2	4	2	5	2	4
3	2	3	2	3	2	3	3	3	4	3	3	3	4	3	3	3	4	3	5	3	4
4	2	4	4	4	5	4	5	4	5	4	4	4	5	4	4	4	5	4	5	4	4
5	2	5	6	5	5	5	6	5	6	5	5	5	5	5	5	5	5	5	6	5	5
6	3	6	6	6	6	6	7	6	6	6	6	6	6	6	6	6	6	6	6	6	5
7	4	7	7	7	7	7	8	7	7	7	7	7	7	7	7	7	7	7	8	7	8
8	5	8	8	8	8	8	10	8	9	8	9	8	8	8	8	8	8	8	9	8	9
9	7	9	10	9	10	9	11	9	10	9	10	9	10	9	10	9	11	9	11	9	11
10	18	10	18	10	18	10	18	10	18	10	18	10	18	10	18	10	18	10	18	10	11
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
