50-64	50-64	65-74	65-74	75-84	75-84	85-100	85-100
0	24	0	26	0	32	0	36
1	24	1	26	1	32	1	36
2	24	2	26	2	32	2	36
3	24	3	26	3	32	3	36
4	24	4	26	4	32	4	36
5	24	5	26	5	32	5	36
6	24	6	29	6	32	6	36
7	24	7	29	7	32	7	36
8	24	8	29	8	36	8	36
9	24	9	29	9	36	9	36
10	24	10	29	10	36	10	36
11	26	11	29	11	36	11	36
12	26	12	29	12	36	12	36
13	26	13	32	13	36	13	36
14	29	14	32	14	36	14	36
15	29	15	32	15	36	15	36
16	32	16	32	16	36	16	36
17	32	17	32	17	36	17	36
18	32	18	32	18	36	18	36
19	32	19	32	19	36	19	36
20	32	20	32	20	36	20	40
21	32	21	32	21	36	21	40
22	32	22	36	22	36	22	40
23	32	23	36	23	36	23	40
24	32	24	36	24	36	24	40
25	32	25	36	25	36	25	40
26	32	26	36	26	36	26	40
27	32	27	36	27	36	27	40
28	32	28	36	28	40	28	40
29	32	29	36	29	40	29	40
30	32	30	36	30	40	30	40
31	32	31	36	31	40	31	40
32	32	32	36	32	40	32	40
33	32	33	36	33	40	33	43
34	32	34	36	34	40	34	43
35	32	35	36	35	40	35	43
36	32	36	36	36	40	36	43
37	32	37	36	37	40	37	43
38	36	38	36	38	40	38	43
39	36	39	40	39	40	39	43
40	36	40	40	40	40	40	43
41	36	41	40	41	40	41	43
42	36	42	40	42	40	42	43
43	36	43	40	43	40	43	43
44	36	44	40	44	40	44	43
45	36	45	40	45	43	45	43
46	36	46	40	46	43	46	47
47	36	47	40	47	43	47	47
48	36	48	40	48	43	48	47
49	36	49	40	49	43	49	47
50	36	50	43	50	43	50	47
51	36	51	43	51	43	51	47
52	36	52	43	52	43	52	47
53	36	53	43	53	43	53	47
54	40	54	43	54	43	54	47
55	40	55	43	55	43	55	50
56	40	56	43	56	43	56	50
57	40	57	43	57	47	57	50
58	40	58	43	58	47	58	50
59	43	59	43	59	47	59	50
60	43	60	47	60	47	60	50
61	43	61	47	61	47	61	50
62	43	62	47	62	50	62	50
63	43	63	47	63	50	63	50
64	43	64	47	64	50	64	50
65	47	65	47	65	50	65	50
66	47	66	50	66	50	66	55
67	47	67	50	67	50	67	55
68	47	68	50	68	50	68	55
69	47	69	50	69	50	69	55
70	47	70	50	70	50	70	55
71	47	71	50	71	50	71	57
72	47	72	50	72	55	72	57
73	47	73	50	73	55	73	57
74	47	74	50	74	55	74	57
75	47	75	50	75	55	75	57
76	50	76	50	76	55	76	57
77	50	77	55	77	55	77	57
78	50	78	55	78	55	78	57
79	50	79	55	79	55	79	57
80	50	80	55	80	57	80	57
81	50	81	55	81	57	81	60
82	50	82	55	82	57	82	60
83	50	83	55	83	57	83	60
84	55	84	57	84	57	84	60
85	55	85	57	85	57	85	60
86	55	86	57	86	57	86	60
87	55	87	57	87	60	87	64
88	55	88	57	88	60	88	64
89	57	89	57	89	60	89	64
90	57	90	64	90	60	90	64
91	57	91	64	91	64	91	64
92	57	92	64	92	64	92	64
93	57	93	64	93	64	93	68
94	64	94	64	94	64	94	68
95	64	95	68	95	68	95	68
96	64	96	68	96	68	96	68
97	64	97	68	97	68	97	68
98	64	98	68	98	68	98	68
99	64	99	68	99	68	99	68
100	64	100	68	100	68	100	68
