18-19	18-19	20-24	20-24	25-29	25-29	30-34	30-34	35-44	35-44	45-54	45-54	55-64	55-64	65-69	65-69	70-74	70-74	75-79	75-79	80-84	80-84	85-100	85-100
0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	2	0	2	0	2
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	2	1	2
2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	2	2	2	2	2	2	2	2	2
3	1	3	1	3	1	3	1	3	1	3	1	3	1	3	2	3	2	3	2	3	2	3	2
4	1	4	1	4	1	4	1	4	1	4	1	4	1	4	2	4	2	4	2	4	2	4	3
5	1	5	1	5	1	5	2	5	2	5	2	5	2	5	3	5	3	5	3	5	3	5	3
6	1	6	1	6	1	6	2	6	2	6	2	6	2	6	3	6	3	6	3	6	3	6	3
7	1	7	1	7	1	7	2	7	2	7	2	7	2	7	3	7	3	7	3	7	3	7	4
8	1	8	1	8	1	8	2	8	2	8	2	8	2	8	3	8	3	8	4	8	4	8	4
9	1	9	1	9	1	9	3	9	3	9	3	9	3	9	4	9	4	9	4	9	4	9	5
10	2	10	2	10	2	10	3	10	3	10	3	10	3	10	4	10	4	10	5	10	5	10	5
11	2	11	2	11	2	11	3	11	3	11	3	11	4	11	5	11	5	11	5	11	5	11	6
12	3	12	3	12	3	12	4	12	4	12	4	12	4	12	5	12	5	12	6	12	6	12	6
13	3	13	3	13	3	13	4	13	4	13	4	13	5	13	6	13	6	13	6	13	6	13	7
14	4	14	4	14	4	14	4	14	4	14	5	14	5	14	6	14	6	14	6	14	7	14	8
15	4	15	4	15	4	15	5	15	5	15	5	15	6	15	7	15	7	15	7	15	8	15	8
16	5	16	5	16	5	16	5	16	5	16	6	16	6	16	7	16	7	16	7	16	8	16	9
17	6	17	6	17	6	17	5	17	5	17	6	17	7	17	8	17	8	17	8	17	9	17	9
18	6	18	6	18	6	18	6	18	6	18	7	18	7	18	9	18	9	18	9	18	9	18	10
19	7	19	7	19	7	19	7	19	7	19	7	19	8	19	9	19	9	19	9	19	10	19	10
20	7	20	7	20	7	20	7	20	7	20	8	20	8	20	10	20	10	20	10	20	10	20	11
21	8	21	8	21	8	21	8	21	8	21	8	21	9	21	10	21	10	21	10	21	11	21	12
22	9	22	9	22	9	22	8	22	8	22	9	22	9	22	10	22	10	22	11	22	11	22	13
23	9	23	9	23	9	23	9	23	9	23	9	23	10	23	11	23	11	23	11	23	12	23	14
24	9	24	9	24	9	24	9	24	9	24	9	24	10	24	11	24	11	24	12	24	12	24	14
25	9	25	10	25	10	25	9	25	9	25	10	25	10	25	12	25	12	25	13	25	13	25	15
26	10	26	10	26	10	26	10	26	10	26	10	26	11	26	12	26	12	26	13	26	14	26	15
27	10	27	10	27	10	27	10	27	10	27	11	27	11	27	13	27	13	27	14	27	14	27	16
28	11	28	11	28	11	28	11	28	11	28	11	28	12	28	13	28	13	28	14	28	15	28	16
29	11	29	11	29	11	29	11	29	11	29	12	29	12	29	14	29	14	29	15	29	15	29	17
30	12	30	12	30	12	30	11	30	12	30	12	30	12	30	14	30	14	30	15	30	16	30	17
31	12	31	12	31	12	31	12	31	12	31	13	31	13	31	15	31	15	31	16	31	16	31	17
32	13	32	13	32	13	32	12	32	13	32	13	32	13	32	15	32	15	32	16	32	17	32	18
33	14	33	14	33	13	33	13	33	13	33	14	33	14	33	16	33	16	33	17	33	17	33	18
34	14	34	14	34	14	34	13	34	14	34	14	34	14	34	16	34	16	34	17	34	18	34	18
35	15	35	15	35	14	35	14	35	14	35	15	35	15	35	17	35	17	35	18	35	18	35	19
36	15	36	15	36	15	36	14	36	15	36	16	36	16	36	17	36	17	36	18	36	18	36	19
37	16	37	16	37	15	37	15	37	16	37	16	37	16	37	18	37	18	37	19	37	19	37	19
38	17	38	17	38	17	38	16	38	17	38	17	38	17	38	19	38	18	38	19	38	19	38	19
39	18	39	18	39	18	39	18	39	18	39	18	39	18	39	19	39	19	39	19	39	19	39	19
40	19	40	19	40	19	40	19	40	19	40	19	40	19	40	19	40	19	40	19	40	19	40	19
41	19	41	19	41	19	41	19	41	19	41	19	41	19	41	19	41	19	41	19	41	19	41	19
42	19	42	19	42	19	42	19	42	19	42	19	42	19	42	19	42	19	42	19	42	19	42	19
43	19	43	19	43	19	43	19	43	19	43	19	43	19	43	19	43	19	43	19	43	19	43	19
44	19	44	19	44	19	44	19	44	19	44	19	44	19	44	19	44	19	44	19	44	19	44	19
45	19	45	19	45	19	45	19	45	19	45	19	45	19	45	19	45	19	45	19	45	19	45	19
46	19	46	19	46	19	46	19	46	19	46	19	46	19	46	19	46	19	46	19	46	19	46	19
47	19	47	19	47	19	47	19	47	19	47	19	47	19	47	19	47	19	47	19	47	19	47	19
48	19	48	19	48	19	48	19	48	19	48	19	48	19	48	19	48	19	48	19	48	19	48	19
49	19	49	19	49	19	49	19	49	19	49	19	49	19	49	19	49	19	49	19	49	19	49	19
50	19	50	19	50	19	50	19	50	19	50	19	50	19	50	19	50	19	50	19	50	19	50	19
