0-49	0-49	50-56	50-56	57-59	57-59	60-62	60-62	63-65	63-65	66-68	66-68	69-71	69-71	72-74	72-74	75-77	75-77	78-80	78-80	81-100	81-100
1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	3	3	2	3	2
4	2	4	2	4	3	4	3	4	2	4	4	4	3	4	3	4	5	4	3	4	4
5	2	5	3	5	5	5	4	5	3	5	5	5	5	5	5	5	6	5	6	5	5
6	2	6	3	6	5	6	5	6	5	6	6	6	6	6	6	6	6	6	6	6	6
7	3	7	4	7	5	7	6	7	6	7	7	7	7	7	7	7	7	7	8	7	8
8	4	8	5	8	6	8	6	8	7	8	8	8	8	8	8	8	9	8	9	8	9
9	5	9	7	9	7	9	7	9	7	9	8	9	8	9	8	9	9	9	10	9	10
10	5	10	7	10	7	10	8	10	8	10	9	10	9	10	9	10	10	10	10	10	11
11	6	11	8	11	8	11	9	11	9	11	9	11	10	11	10	11	10	11	11	11	11
12	7	12	8	12	8	12	9	12	9	12	10	12	10	12	10	12	10	12	11	12	11
13	8	13	9	13	9	13	10	13	10	13	10	13	10	13	10	13	11	13	11	13	12
14	9	14	10	14	10	14	10	14	10	14	10	14	11	14	11	14	12	14	12	14	12
15	9	15	10	15	10	15	11	15	10	15	11	15	11	15	11	15	12	15	13	15	13
16	10	16	10	16	10	16	11	16	11	16	11	16	11	16	11	16	12	16	13	16	14
17	10	17	10	17	11	17	11	17	11	17	12	17	12	17	12	17	13	17	13	17	14
18	10	18	11	18	11	18	12	18	12	18	13	18	13	18	13	18	13	18	13	18	14
19	11	19	12	19	11	19	12	19	12	19	13	19	13	19	13	19	14	19	14	19	18
20	12	20	12	20	12	20	13	20	13	20	14	20	14	20	14	20	15	20	15	20	18
21	12	21	13	21	13	21	13	21	13	21	15	21	14	21	14	21	16	21	18	21	18
22	13	22	13	22	14	22	14	22	15	22	15	22	15	22	15	22	17	22	18	22	18
23	14	23	14	23	14	23	15	23	16	23	16	23	15	23	15	23	17	23	18	23	18
24	14	24	15	24	15	24	17	24	17	24	17	24	16	24	16	24	18	24	18	24	18
25	15	25	15	25	15	25	18	25	18	25	17	25	17	25	17	25	18	25	18	25	18
26	15	26	15	26	16	26	18	26	18	26	18	26	18	26	18	26	18	26	18	26	18
27	16	27	15	27	17	27	18	27	18	27	18	27	18	27	18	27	18	27	18	27	18
28	17	28	16	28	17	28	18	28	18	28	18	28	18	28	18	28	18	28	18	28	18
29	17	29	16	29	18	29	18	29	18	29	18	29	18	29	18	29	18	29	18	29	18
30	18	30	17	30	18	30	18	30	18	30	18	30	18	30	18	30	18	30	18	30	18
31	18	31	18	31	18	31	18	31	18	31	18	31	18	31	18	31	18	31	18	31	18
32	18	32	18	32	18	32	18	32	18	32	18	32	18	32	18	32	18	32	18	32	18
33	18	33	18	33	18	33	18	33	18	33	18	33	18	33	18	33	18	33	18	33	18
34	18	34	18	34	18	34	18	34	18	34	18	34	18	34	18	34	18	34	18	34	18
35	18	35	18	35	18	35	18	35	18	35	18	35	18	35	18	35	18	35	18	35	18
36	18	36	18	36	18	36	18	36	18	36	18	36	18	36	18	36	18	36	18	36	18
37	18	37	18	37	18	37	18	37	18	37	18	37	18	37	18	37	18	37	18	37	18
38	18	38	18	38	18	38	18	38	18	38	18	38	18	38	18	38	18	38	18	38	18
