50-64	50-64	65-74	65-74	75-84	75-84	85-100	85-100
0	24	0	24	0	24	0	26
1	24	1	24	1	24	1	26
2	24	2	24	2	24	2	26
3	24	3	24	3	24	3	26
4	24	4	24	4	24	4	26
5	24	5	24	5	24	5	26
6	24	6	24	6	24	6	26
7	24	7	24	7	24	7	26
8	24	8	24	8	24	8	26
9	24	9	24	9	24	9	26
10	24	10	24	10	24	10	26
11	24	11	24	11	24	11	29
12	24	12	24	12	24	12	29
13	24	13	24	13	24	13	29
14	24	14	24	14	24	14	29
15	24	15	24	15	24	15	29
16	24	16	24	16	24	16	29
17	24	17	24	17	24	17	29
18	24	18	24	18	24	18	29
19	24	19	24	19	24	19	29
20	24	20	24	20	24	20	29
21	24	21	26	21	26	21	29
22	24	22	26	22	26	22	29
23	24	23	26	23	26	23	29
24	24	24	26	24	26	24	29
25	24	25	26	25	26	25	29
26	24	26	29	26	29	26	32
27	24	27	29	27	29	27	32
28	24	28	29	28	29	28	32
29	24	29	29	29	29	29	32
30	24	30	29	30	29	30	32
31	26	31	29	31	29	31	36
32	26	32	29	32	29	32	36
33	26	33	29	33	29	33	36
34	26	34	32	34	32	34	36
35	26	35	32	35	32	35	36
36	26	36	32	36	32	36	36
37	26	37	32	37	32	37	36
38	26	38	32	38	32	38	36
39	26	39	32	39	36	39	40
40	26	40	32	40	36	40	40
41	26	41	36	41	36	41	40
42	26	42	36	42	36	42	40
43	29	43	36	43	36	43	40
44	29	44	36	44	36	44	40
45	32	45	36	45	36	45	43
46	32	46	36	46	36	46	43
47	32	47	36	47	40	47	43
48	32	48	36	48	40	48	43
49	32	49	36	49	40	49	43
50	32	50	36	50	40	50	43
51	36	51	36	51	40	51	43
52	36	52	36	52	40	52	43
53	36	53	36	53	40	53	43
54	36	54	36	54	40	54	43
55	36	55	40	55	40	55	43
56	36	56	40	56	40	56	47
57	36	57	40	57	40	57	47
58	36	58	40	58	40	58	47
59	40	59	40	59	43	59	47
60	40	60	40	60	43	60	47
61	40	61	40	61	43	61	47
62	40	62	40	62	43	62	47
63	40	63	43	63	43	63	47
64	40	64	43	64	47	64	47
65	40	65	43	65	47	65	50
66	40	66	43	66	47	66	50
67	40	67	43	67	47	67	50
68	40	68	43	68	47	68	50
69	40	69	43	69	47	69	50
70	43	70	47	70	47	70	50
71	43	71	47	71	50	71	50
72	43	72	47	72	50	72	50
73	43	73	47	73	50	73	50
74	43	74	50	74	50	74	50
75	43	75	50	75	50	75	50
76	47	76	50	76	50	76	50
77	47	77	50	77	50	77	50
78	47	78	50	78	50	78	55
79	47	79	50	79	55	79	55
80	47	80	50	80	55	80	55
81	50	81	50	81	55	81	55
82	50	82	50	82	55	82	57
83	50	83	50	83	55	83	57
84	50	84	55	84	55	84	57
85	50	85	55	85	57	85	57
86	50	86	55	86	57	86	57
87	50	87	55	87	57	87	57
88	55	88	55	88	57	88	60
89	55	89	57	89	57	89	60
90	55	90	57	90	60	90	60
91	55	91	57	91	60	91	60
92	57	92	57	92	60	92	60
93	57	93	57	93	60	93	64
94	60	94	60	94	64	94	64
95	60	95	60	95	64	95	64
96	64	96	64	96	64	96	64
97	64	97	64	97	64	97	64
98	64	98	64	98	64	98	64
99	64	99	64	99	64	99	64
100	64	100	64	100	64	100	64
