0-49	0-49	50-56	50-56	57-59	57-59	60-62	60-62	63-65	63-65	66-68	66-68	69-71	69-71	72-74	72-74	75-77	75-77	78-80	78-80	81-100	81-100
0.5	2	0.5	2	0.5	2	0.5	2	0.5	2	0.5	2	0.5	2	0.5	2	0.5	2	0.5	2	0.5	2
1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2
4	2	4	2	4	2	4	2	4	2	4	2	4	2	4	2	4	2	4	2	4	2
5	2	5	2	5	2	5	2	5	2	5	2	5	2	5	2	5	2	5	2	5	2
6	2	6	2	6	2	6	2	6	2	6	2	6	2	6	2	6	2	6	2	6	2
7	2	7	2	7	2	7	2	7	2	7	2	7	2	7	2	7	2	7	2	7	2
8	2	8	2	8	2	8	2	8	2	8	2	8	2	8	2	8	2	8	2	8	2
9	2	9	2	9	2	9	2	9	2	9	2	9	2	9	2	9	2	9	2	9	2
10	2	10	2	10	2	10	2	10	2	10	2	10	2	10	2	10	2	10	2	10	2
11	2	11	2	11	2	11	2	11	2	11	2	11	2	11	2	11	2	11	2	11	2
12	2	12	2	12	2	12	2	12	2	12	2	12	2	12	2	12	2	12	2	12	2
13	2	13	2	13	2	13	2	13	2	13	2	13	2	13	2	13	2	13	2	13	2
14	2	14	2	14	2	14	2	14	2	14	2	14	2	14	2	14	2	14	2	14	2
15	2	15	2	15	2	15	2	15	2	15	2	15	2	15	2	15	2	15	2	15	2
16	2	16	2	16	2	16	2	16	2	16	2	16	2	16	2	16	2	16	2	16	2
17	2	17	2	17	2	17	2	17	2	17	2	17	2	17	2	17	2	17	2	17	2
18	2	18	2	18	2	18	2	18	2	18	2	18	2	18	2	18	2	18	2	18	4
19	2	19	2	19	2	19	2	19	2	19	2	19	2	19	2	19	2	19	2	19	5
20	2	20	2	20	2	20	2	20	2	20	2	20	2	20	2	20	2	20	2	20	5
21	2	21	2	21	2	21	3	21	3	21	3	21	2	21	2	21	4	21	3	21	5
22	2	22	3	22	2	22	3	22	3	22	3	22	4	22	4	22	5	22	5	22	6
23	2	23	3	23	2	23	3	23	3	23	3	23	4	23	4	23	5	23	5	23	6
24	2	24	3	24	2	24	3	24	3	24	4	24	5	24	5	24	5	24	5	24	6
25	2	25	3	25	2	25	3	25	3	25	4	25	5	25	5	25	5	25	5	25	6
26	2	26	3	26	2	26	3	26	3	26	4	26	5	26	5	26	5	26	5	26	6
27	2	27	3	27	2	27	3	27	3	27	5	27	5	27	5	27	5	27	5	27	6
28	2	28	3	28	2	28	3	28	3	28	5	28	5	28	5	28	6	28	6	28	6
29	2	29	3	29	2	29	3	29	3	29	5	29	5	29	5	29	6	29	6	29	6
30	2	30	3	30	2	30	3	30	3	30	5	30	5	30	6	30	6	30	6	30	6
31	2	31	3	31	2	31	3	31	3	31	5	31	5	31	6	31	6	31	6	31	6
32	2	32	3	32	2	32	3	32	3	32	5	32	5	32	6	32	6	32	6	32	6
33	2	33	4	33	3	33	4	33	4	33	5	33	6	33	6	33	7	33	7	33	7
34	2	34	4	34	3	34	4	34	4	34	5	34	6	34	6	34	7	34	7	34	7
35	2	35	4	35	3	35	4	35	4	35	5	35	6	35	6	35	7	35	7	35	7
36	2	36	4	36	3	36	4	36	4	36	5	36	6	36	6	36	7	36	8	36	8
37	2	37	4	37	5	37	5	37	5	37	5	37	6	37	7	37	7	37	8	37	8
38	2	38	4	38	5	38	5	38	5	38	5	38	6	38	7	38	7	38	8	38	8
39	2	39	4	39	5	39	5	39	5	39	6	39	7	39	7	39	7	39	8	39	8
40	2	40	4	40	5	40	5	40	5	40	6	40	7	40	7	40	8	40	8	40	8
41	2	41	4	41	5	41	6	41	6	41	7	41	7	41	8	41	8	41	9	41	9
42	2	42	4	42	5	42	6	42	6	42	7	42	7	42	8	42	8	42	9	42	9
