0-49	0-49	50-56	50-56	57-59	57-59	60-62	60-62	63-65	63-65	66-68	66-68	69-71	69-71	72-74	72-74	75-77	75-77	78-80	78-80	81-100	81-100
0.5	2	0.5	2	0.5	2	0.5	2	0.5	2	0.5	2	0.5	2	0.5	2	0.5	2	0.5	2	0.5	2
1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2
4	2	4	2	4	2	4	2	4	2	4	2	4	2	4	2	4	2	4	2	4	2
5	2	5	2	5	2	5	2	5	2	5	2	5	2	5	2	5	2	5	2	5	2
6	2	6	2	6	2	6	2	6	2	6	2	6	2	6	2	6	2	6	2	6	2
7	2	7	2	7	2	7	2	7	2	7	2	7	2	7	2	7	2	7	2	7	2
8	2	8	2	8	2	8	2	8	2	8	2	8	2	8	2	8	2	8	2	8	2
9	2	9	2	9	2	9	2	9	2	9	2	9	2	9	2	9	2	9	2	9	2
10	2	10	2	10	2	10	2	10	2	10	2	10	2	10	2	10	2	10	2	10	2
11	2	11	2	11	2	11	2	11	2	11	2	11	2	11	2	11	2	11	2	11	2
12	2	12	2	12	2	12	2	12	2	12	2	12	2	12	2	12	2	12	2	12	2
13	2	13	2	13	2	13	2	13	2	13	2	13	2	13	2	13	2	13	2	13	2
14	2	14	2	14	2	14	2	14	2	14	2	14	2	14	2	14	2	14	2	14	2
15	2	15	2	15	2	15	2	15	2	15	2	15	2	15	2	15	2	15	2	15	2
16	2	16	2	16	2	16	2	16	2	16	2	16	2	16	2	16	2	16	2	16	2
17	2	17	2	17	2	17	2	17	2	17	2	17	2	17	2	17	2	17	2	17	2
18	2	18	2	18	2	18	2	18	2	18	2	18	2	18	2	18	2	18	2	18	2
19	2	19	2	19	2	19	2	19	2	19	2	19	2	19	2	19	2	19	2	19	2
20	2	20	2	20	2	20	2	20	2	20	2	20	2	20	2	20	2	20	2	20	2
21	2	21	2	21	2	21	2	21	2	21	2	21	2	21	2	21	2	21	2	21	4
22	2	22	2	22	2	22	2	22	2	22	2	22	2	22	2	22	2	22	2	22	5
23	2	23	2	23	2	23	2	23	2	23	2	23	2	23	2	23	3	23	2	23	5
24	2	24	2	24	2	24	2	24	2	24	2	24	3	24	3	24	4	24	2	24	5
25	2	25	3	25	2	25	2	25	2	25	2	25	3	25	3	25	4	25	2	25	5
26	2	26	3	26	2	26	2	26	2	26	2	26	3	26	3	26	4	26	2	26	5
27	2	27	3	27	2	27	2	27	2	27	2	27	3	27	3	27	4	27	2	27	5
28	2	28	3	28	2	28	2	28	2	28	2	28	3	28	3	28	4	28	2	28	5
29	2	29	3	29	2	29	2	29	2	29	2	29	3	29	3	29	4	29	2	29	5
30	2	30	3	30	2	30	2	30	2	30	2	30	3	30	3	30	4	30	2	30	5
31	2	31	3	31	2	31	2	31	2	31	3	31	4	31	4	31	5	31	2	31	5
32	2	32	3	32	2	32	2	32	2	32	3	32	4	32	4	32	5	32	3	32	5
33	2	33	3	33	2	33	2	33	2	33	3	33	5	33	5	33	5	33	5	33	5
34	2	34	3	34	2	34	2	34	2	34	3	34	5	34	5	34	5	34	5	34	5
35	2	35	3	35	2	35	2	35	2	35	3	35	5	35	5	35	5	35	5	35	5
36	2	36	3	36	2	36	2	36	2	36	3	36	5	36	5	36	5	36	5	36	5
37	2	37	3	37	2	37	2	37	2	37	3	37	5	37	5	37	5	37	5	37	5
38	2	38	3	38	2	38	2	38	2	38	3	38	5	38	5	38	5	38	5	38	5
39	2	39	3	39	2	39	2	39	2	39	3	39	5	39	5	39	5	39	5	39	5
40	2	40	3	40	2	40	2	40	2	40	3	40	5	40	5	40	5	40	5	40	5
41	2	41	3	41	2	41	2	41	2	41	3	41	5	41	5	41	5	41	5	41	5
42	2	42	3	42	2	42	2	42	2	42	3	42	5	42	5	42	6	42	6	42	6
