0-49	0-49	50-56	50-56	57-59	57-59	60-62	60-62	63-65	63-65	66-68	66-68	69-71	69-71	72-74	72-74	75-77	75-77	78-80	78-80	81-100	81-100
0.5	2	0.5	2	0.5	2	0.5	2	0.5	2	0.5	2	0.5	2	0.5	2	0.5	2	0.5	2	0.5	2
1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2	1	2
2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2	3	2
4	2	4	2	4	2	4	2	4	2	4	2	4	2	4	2	4	2	4	2	4	2
5	2	5	2	5	2	5	2	5	2	5	2	5	2	5	2	5	3	5	2	5	2
6	2	6	2	6	2	6	2	6	2	6	4	6	4	6	3	6	4	6	2	6	2
7	2	7	3	7	3	7	3	7	3	7	4	7	4	7	3	7	4	7	2	7	2
8	2	8	4	8	4	8	4	8	4	8	4	8	4	8	3	8	4	8	3	8	4
9	2	9	4	9	4	9	4	9	4	9	4	9	4	9	5	9	5	9	5	9	5
10	2	10	4	10	4	10	5	10	5	10	5	10	5	10	5	10	6	10	6	10	6
11	2	11	4	11	4	11	5	11	5	11	5	11	5	11	6	11	6	11	6	11	7
12	2	12	5	12	5	12	5	12	5	12	5	12	6	12	6	12	7	12	7	12	7
13	2	13	5	13	5	13	5	13	5	13	5	13	6	13	6	13	7	13	7	13	7
14	2	14	5	14	5	14	5	14	6	14	6	14	6	14	7	14	7	14	7	14	7
15	2	15	5	15	5	15	5	15	6	15	6	15	7	15	7	15	7	15	8	15	8
16	2	16	5	16	5	16	5	16	7	16	6	16	7	16	7	16	8	16	8	16	8
17	2	17	5	17	5	17	5	17	7	17	6	17	7	17	7	17	8	17	8	17	9
18	2	18	5	18	5	18	5	18	7	18	7	18	7	18	8	18	8	18	9	18	9
19	2	19	5	19	6	19	6	19	7	19	7	19	7	19	8	19	9	19	9	19	10
20	2	20	6	20	6	20	6	20	7	20	7	20	8	20	8	20	9	20	10	20	10
21	2	21	6	21	7	21	7	21	7	21	7	21	8	21	9	21	9	21	10	21	10
22	2	22	7	22	7	22	7	22	8	22	8	22	8	22	9	22	10	22	10	22	10
23	2	23	7	23	7	23	7	23	8	23	8	23	8	23	9	23	10	23	10	23	11
24	2	24	7	24	7	24	7	24	8	24	8	24	9	24	9	24	10	24	11	24	11
25	3	25	7	25	7	25	8	25	9	25	9	25	9	25	10	25	10	25	11	25	11
26	3	26	8	26	8	26	8	26	9	26	9	26	10	26	10	26	10	26	11	26	12
27	4	27	8	27	8	27	9	27	9	27	10	27	10	27	10	27	11	27	12	27	12
28	4	28	8	28	8	28	9	28	9	28	10	28	10	28	11	28	11	28	12	28	13
29	4	29	8	29	8	29	9	29	10	29	10	29	10	29	11	29	12	29	12	29	13
30	5	30	8	30	9	30	9	30	10	30	10	30	11	30	11	30	12	30	12	30	13
31	5	31	8	31	9	31	10	31	10	31	11	31	11	31	12	31	12	31	12	31	13
32	5	32	9	32	9	32	10	32	10	32	11	32	11	32	12	32	12	32	13	32	13
33	5	33	9	33	10	33	10	33	10	33	11	33	11	33	12	33	12	33	13	33	13
34	6	34	10	34	10	34	10	34	10	34	11	34	12	34	12	34	12	34	13	34	13
35	6	35	10	35	10	35	10	35	11	35	11	35	12	35	12	35	13	35	13	35	14
36	6	36	10	36	10	36	10	36	11	36	12	36	12	36	12	36	13	36	13	36	14
37	6	37	10	37	10	37	11	37	11	37	12	37	13	37	13	37	13	37	14	37	15
38	6	38	10	38	10	38	11	38	11	38	12	38	13	38	13	38	13	38	14	38	16
39	7	39	10	39	11	39	11	39	12	39	12	39	13	39	13	39	14	39	15	39	16
40	7	40	11	40	11	40	11	40	12	40	13	40	13	40	13	40	14	40	15	40	16
41	8	41	11	41	11	41	11	41	12	41	13	41	13	41	14	41	14	41	16	41	18
42	8	42	12	42	12	42	12	42	13	42	13	42	13	42	14	42	14	42	16	42	18
