0-49	0-49	50-56	50-56	57-59	57-59	60-62	60-62	63-65	63-65	66-68	66-68	69-71	69-71	72-74	72-74	75-77	75-77	78-80	78-80	81-100	81-100
0.5	18	0.5	18	0.5	18	0.5	18	0.5	18	0.5	18	0.5	18	0.5	18	0.5	18	0.5	18	0.5	18
1	18	1	18	1	18	1	18	1	18	1	18	1	18	1	18	1	18	1	18	1	18
2	18	2	18	2	18	2	18	2	18	2	18	2	18	2	18	2	18	2	18	2	18
3	18	3	18	3	18	3	18	3	18	3	18	3	18	3	18	3	18	3	18	3	18
4	18	4	18	4	18	4	18	4	18	4	18	4	18	4	18	4	18	4	18	4	18
5	18	5	18	5	18	5	18	5	18	5	18	5	18	5	18	5	18	5	18	5	18
6	18	6	18	6	18	6	18	6	18	6	18	6	18	6	18	6	18	6	18	6	18
7	18	7	18	7	18	7	18	7	18	7	18	7	18	7	18	7	18	7	18	7	18
8	18	8	18	8	18	8	18	8	18	8	18	8	18	8	18	8	18	8	18	8	18
9	18	9	18	9	18	9	18	9	18	9	18	9	18	9	18	9	18	9	18	9	18
10	18	10	18	10	18	10	18	10	18	10	18	10	18	10	18	10	18	10	18	10	18
11	18	11	18	11	18	11	18	11	18	11	18	11	18	11	18	11	18	11	18	11	18
12	18	12	18	12	18	12	18	12	18	12	18	12	18	12	18	12	18	12	18	12	18
13	17	13	18	13	18	13	18	13	18	13	18	13	18	13	18	13	18	13	18	13	18
14	16	14	18	14	18	14	18	14	18	14	18	14	18	14	18	14	18	14	18	14	18
15	16	15	18	15	18	15	18	15	18	15	18	15	18	15	18	15	18	15	18	15	18
16	15	16	18	16	18	16	18	16	18	16	18	16	18	16	18	16	18	16	18	16	18
17	14	17	18	17	18	17	18	17	18	17	18	17	18	17	18	17	18	17	18	17	18
18	14	18	17	18	17	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18
19	13	19	17	19	17	19	18	19	18	19	18	19	18	19	18	19	18	19	18	19	18
20	13	20	17	20	17	20	18	20	18	20	18	20	18	20	18	20	18	20	18	20	18
21	12	21	17	21	17	21	18	21	18	21	18	21	18	21	18	21	18	21	18	21	18
22	12	22	17	22	17	22	18	22	18	22	18	22	18	22	18	22	18	22	18	22	18
23	11	23	16	23	16	23	18	23	18	23	18	23	18	23	18	23	18	23	18	23	18
24	11	24	15	24	15	24	16	24	16	24	16	24	18	24	18	24	18	24	18	24	16
25	10	25	14	25	14	25	15	25	15	25	15	25	16	25	18	25	18	25	18	25	15
26	10	26	13	26	13	26	14	26	15	26	15	26	16	26	18	26	18	26	18	26	15
27	10	27	13	27	13	27	13	27	14	27	15	27	16	27	18	27	18	27	18	27	15
28	10	28	13	28	13	28	13	28	14	28	15	28	15	28	18	28	18	28	18	28	15
29	9	29	12	29	13	29	13	29	14	29	15	29	15	29	17	29	18	29	18	29	15
30	9	30	12	30	12	30	13	30	13	30	15	30	15	30	16	30	17	30	17	30	15
31	9	31	12	31	12	31	13	31	13	31	14	31	15	31	15	31	17	31	15	31	15
32	8	32	12	32	12	32	12	32	13	32	14	32	14	32	15	32	17	32	15	32	15
33	8	33	12	33	12	33	12	33	12	33	13	33	14	33	15	33	17	33	15	33	15
34	8	34	11	34	12	34	12	34	12	34	13	34	13	34	14	34	15	34	15	34	15
35	7	35	11	35	11	35	12	35	12	35	13	35	13	35	14	35	15	35	15	35	15
36	7	36	10	36	11	36	11	36	12	36	13	36	13	36	13	36	14	36	14	36	15
37	7	37	10	37	11	37	11	37	12	37	12	37	13	37	13	37	14	37	14	37	14
38	7	38	10	38	11	38	11	38	11	38	12	38	12	38	13	38	13	38	14	38	14
39	6	39	10	39	11	39	11	39	11	39	12	39	12	39	13	39	13	39	14	39	14
40	6	40	10	40	11	40	11	40	11	40	12	40	12	40	13	40	13	40	14	40	14
41	6	41	10	41	10	41	11	41	11	41	12	41	12	41	13	41	13	41	14	41	14
42	6	42	10	42	10	42	10	42	11	42	12	42	12	42	13	42	13	42	13	42	13
43	6	43	10	43	10	43	10	43	11	43	12	43	12	43	12	43	13	43	12	43	12
44	6	44	10	44	10	44	10	44	11	44	11	44	12	44	12	44	13	44	12	44	12
45	5	45	10	45	10	45	10	45	11	45	11	45	11	45	12	45	12	45	12	45	12
46	5	46	10	46	10	46	10	46	11	46	11	46	11	46	12	46	12	46	12	46	12
47	4	47	9	47	10	47	10	47	10	47	11	47	11	47	11	47	12	47	12	47	12
48	4	48	9	48	10	48	10	48	10	48	11	48	11	48	11	48	11	48	12	48	12
49	3	49	9	49	10	49	10	49	10	49	10	49	11	49	11	49	11	49	12	49	12
50	3	50	9	50	9	50	10	50	10	50	10	50	11	50	11	50	11	50	12	50	12
51	3	51	9	51	9	51	10	51	10	51	10	51	10	51	11	51	11	51	12	51	12
52	3	52	9	52	9	52	10	52	10	52	10	52	10	52	11	52	11	52	12	52	12
53	3	53	9	53	9	53	10	53	10	53	10	53	10	53	11	53	11	53	12	53	12
54	3	54	8	54	9	54	10	54	10	54	10	54	10	54	10	54	11	54	12	54	12
55	2	55	8	55	9	55	9	55	10	55	10	55	10	55	10	55	11	55	11	55	12
56	2	56	8	56	8	56	9	56	10	56	10	56	10	56	10	56	11	56	11	56	12
57	2	57	8	57	8	57	9	57	10	57	10	57	10	57	10	57	10	57	11	57	12
58	2	58	8	58	8	58	9	58	10	58	9	58	10	58	10	58	10	58	11	58	11
59	2	59	7	59	8	59	9	59	9	59	9	59	10	59	10	59	10	59	11	59	11
60	2	60	7	60	8	60	8	60	9	60	9	60	9	60	10	60	10	60	11	60	11
61	2	61	7	61	7	61	8	61	9	61	9	61	9	61	10	61	10	61	11	61	11
62	2	62	7	62	7	62	8	62	9	62	9	62	9	62	10	62	10	62	11	62	11
63	2	63	7	63	7	63	8	63	9	63	8	63	9	63	10	63	10	63	10	63	11
64	2	64	7	64	7	64	8	64	8	64	8	64	9	64	9	64	10	64	10	64	11
65	2	65	7	65	7	65	8	65	8	65	8	65	9	65	9	65	10	65	10	65	10
66	2	66	7	66	7	66	8	66	8	66	8	66	9	66	9	66	10	66	10	66	10
67	2	67	7	67	7	67	8	67	8	67	8	67	9	67	9	67	10	67	10	67	10
68	2	68	6	68	7	68	7	68	8	68	8	68	8	68	9	68	9	68	10	68	10
69	2	69	6	69	7	69	7	69	8	69	8	69	8	69	9	69	9	69	10	69	10
70	2	70	6	70	7	70	7	70	8	70	8	70	8	70	9	70	9	70	10	70	10
71	2	71	6	71	7	71	7	71	8	71	8	71	8	71	9	71	9	71	10	71	10
72	2	72	6	72	7	72	7	72	8	72	8	72	8	72	9	72	9	72	10	72	10
73	2	73	6	73	6	73	7	73	8	73	8	73	8	73	8	73	9	73	10	73	10
74	2	74	6	74	6	74	7	74	8	74	7	74	8	74	8	74	9	74	9	74	10
75	2	75	6	75	6	75	7	75	7	75	7	75	8	75	8	75	9	75	9	75	9
76	2	76	6	76	6	76	7	76	7	76	7	76	8	76	8	76	9	76	9	76	9
77	2	77	6	77	6	77	7	77	7	77	7	77	8	77	8	77	9	77	9	77	9
78	2	78	6	78	6	78	7	78	7	78	7	78	8	78	8	78	8	78	9	78	9
79	2	79	6	79	6	79	7	79	7	79	7	79	7	79	8	79	8	79	9	79	9
80	2	80	6	80	6	80	7	80	7	80	7	80	7	80	8	80	8	80	8	80	9
81	2	81	5	81	6	81	7	81	7	81	7	81	7	81	8	81	8	81	8	81	8
82	2	82	5	82	6	82	7	82	7	82	7	82	7	82	8	82	8	82	8	82	8
83	2	83	5	83	6	83	7	83	7	83	7	83	7	83	8	83	8	83	8	83	8
84	2	84	5	84	6	84	7	84	7	84	7	84	7	84	8	84	8	84	8	84	8
85	2	85	5	85	6	85	6	85	7	85	7	85	7	85	7	85	8	85	8	85	8
86	2	86	5	86	6	86	6	86	7	86	7	86	7	86	7	86	8	86	8	86	8
87	2	87	5	87	5	87	6	87	6	87	6	87	7	87	7	87	8	87	8	87	8
88	2	88	5	88	5	88	6	88	6	88	6	88	7	88	7	88	7	88	7	88	7
89	2	89	5	89	5	89	6	89	6	89	6	89	7	89	7	89	7	89	7	89	7
90	2	90	5	90	5	90	6	90	6	90	6	90	7	90	7	90	7	90	7	90	7
91	2	91	5	91	5	91	6	91	6	91	6	91	7	91	7	91	7	91	7	91	7
92	2	92	5	92	5	92	6	92	6	92	6	92	7	92	7	92	7	92	7	92	6
93	2	93	5	93	5	93	6	93	6	93	6	93	7	93	7	93	7	93	7	93	6
94	2	94	5	94	5	94	6	94	6	94	6	94	7	94	7	94	7	94	7	94	6
95	2	95	5	95	5	95	6	95	6	95	6	95	7	95	7	95	7	95	7	95	6
96	2	96	5	96	5	96	6	96	6	96	6	96	7	96	7	96	7	96	7	96	6
97	2	97	5	97	5	97	6	97	6	97	6	97	7	97	7	97	7	97	7	97	6
98	2	98	5	98	5	98	6	98	6	98	6	98	7	98	7	98	7	98	7	98	6
99	2	99	5	99	5	99	6	99	6	99	6	99	7	99	7	99	7	99	7	99	6
100	2	100	5	100	5	100	6	100	6	100	6	100	7	100	7	100	7	100	7	100	6
101	2	101	5	101	5	101	6	101	6	101	6	101	7	101	7	101	7	101	7	101	6
102	2	102	4	102	5	102	6	102	6	102	6	102	7	102	7	102	7	102	7	102	6
103	2	103	4	103	5	103	5	103	6	103	6	103	7	103	7	103	7	103	7	103	6
104	2	104	4	104	5	104	5	104	5	104	5	104	7	104	7	104	7	104	7	104	6
105	2	105	4	105	5	105	5	105	5	105	5	105	7	105	7	105	7	105	7	105	6
106	2	106	4	106	5	106	5	106	5	106	5	106	7	106	7	106	7	106	6	106	5
107	2	107	4	107	5	107	5	107	5	107	5	107	7	107	7	107	7	107	6	107	5
108	2	108	4	108	5	108	5	108	5	108	5	108	7	108	7	108	7	108	6	108	5
109	2	109	4	109	5	109	5	109	5	109	5	109	7	109	7	109	7	109	6	109	5
110	2	110	4	110	4	110	5	110	5	110	5	110	6	110	6	110	6	110	6	110	5
111	2	111	4	111	4	111	5	111	5	111	5	111	6	111	6	111	6	111	6	111	5
112	2	112	4	112	4	112	5	112	4	112	5	112	6	112	6	112	6	112	6	112	5
113	2	113	4	113	4	113	5	113	4	113	5	113	6	113	6	113	6	113	6	113	5
114	2	114	4	114	4	114	5	114	4	114	5	114	6	114	6	114	6	114	6	114	5
115	2	115	4	115	4	115	5	115	4	115	5	115	6	115	6	115	6	115	6	115	5
116	2	116	4	116	4	116	5	116	4	116	5	116	6	116	6	116	6	116	6	116	5
117	2	117	4	117	4	117	5	117	4	117	5	117	6	117	6	117	6	117	6	117	5
118	2	118	3	118	3	118	5	118	4	118	5	118	6	118	6	118	6	118	6	118	5
119	2	119	3	119	3	119	5	119	4	119	5	119	6	119	6	119	6	119	6	119	5
120	2	120	3	120	3	120	3	120	4	120	5	120	6	120	6	120	6	120	6	120	5
121	2	121	2	121	2	121	3	121	3	121	5	121	5	121	6	121	6	121	6	121	5
122	2	122	2	122	2	122	3	122	3	122	5	122	5	122	6	122	6	122	6	122	5
123	2	123	2	123	2	123	3	123	3	123	5	123	5	123	6	123	6	123	6	123	5
124	2	124	2	124	2	124	3	124	3	124	5	124	5	124	6	124	6	124	6	124	5
125	2	125	2	125	2	125	3	125	3	125	4	125	5	125	6	125	6	125	6	125	5
126	2	126	2	126	2	126	3	126	3	126	4	126	5	126	6	126	6	126	6	126	5
127	2	127	2	127	2	127	3	127	3	127	4	127	5	127	6	127	6	127	6	127	5
128	2	128	2	128	2	128	3	128	3	128	4	128	5	128	6	128	6	128	6	128	5
129	2	129	2	129	2	129	3	129	3	129	4	129	5	129	6	129	6	129	6	129	5
130	2	130	2	130	2	130	3	130	3	130	4	130	5	130	6	130	6	130	6	130	5
131	2	131	2	131	2	131	2	131	3	131	4	131	5	131	6	131	6	131	6	131	5
132	2	132	2	132	2	132	2	132	2	132	3	132	5	132	6	132	6	132	6	132	5
133	2	133	2	133	2	133	2	133	2	133	3	133	5	133	6	133	6	133	6	133	5
134	2	134	2	134	2	134	2	134	2	134	3	134	5	134	6	134	6	134	6	134	5
135	2	135	2	135	2	135	2	135	2	135	3	135	5	135	6	135	6	135	6	135	5
136	2	136	2	136	2	136	2	136	2	136	3	136	5	136	6	136	6	136	6	136	5
137	2	137	2	137	2	137	2	137	2	137	3	137	5	137	6	137	6	137	6	137	5
138	2	138	2	138	2	138	2	138	2	138	2	138	5	138	5	138	5	138	6	138	5
139	2	139	2	139	2	139	2	139	2	139	2	139	5	139	5	139	5	139	6	139	5
140	2	140	2	140	2	140	2	140	2	140	2	140	5	140	5	140	5	140	6	140	5
141	2	141	2	141	2	141	2	141	2	141	2	141	5	141	5	141	5	141	6	141	5
142	2	142	2	142	2	142	2	142	2	142	2	142	5	142	5	142	5	142	6	142	5
143	2	143	2	143	2	143	2	143	2	143	2	143	5	143	5	143	5	143	6	143	5
144	2	144	2	144	2	144	2	144	2	144	2	144	5	144	5	144	5	144	6	144	5
145	2	145	2	145	2	145	2	145	2	145	2	145	5	145	5	145	5	145	6	145	5
146	2	146	2	146	2	146	2	146	2	146	2	146	5	146	5	146	5	146	5	146	5
147	2	147	2	147	2	147	2	147	2	147	2	147	5	147	5	147	5	147	5	147	5
148	2	148	2	148	2	148	2	148	2	148	2	148	5	148	5	148	5	148	5	148	5
149	2	149	2	149	2	149	2	149	2	149	2	149	5	149	5	149	5	149	5	149	5
150	2	150	2	150	2	150	2	150	2	150	2	150	5	150	5	150	5	150	5	150	5
151	2	151	2	151	2	151	2	151	2	151	2	151	5	151	5	151	5	151	5	151	5
152	2	152	2	152	2	152	2	152	2	152	2	152	5	152	5	152	5	152	5	152	5
153	2	153	2	153	2	153	2	153	2	153	2	153	5	153	5	153	5	153	5	153	5
154	2	154	2	154	2	154	2	154	2	154	2	154	5	154	5	154	5	154	5	154	5
155	2	155	2	155	2	155	2	155	2	155	2	155	5	155	5	155	5	155	5	155	5
156	2	156	2	156	2	156	2	156	2	156	2	156	5	156	5	156	5	156	5	156	5
157	2	157	2	157	2	157	2	157	2	157	2	157	5	157	5	157	5	157	5	157	5
158	2	158	2	158	2	158	2	158	2	158	2	158	4	158	5	158	5	158	5	158	5
159	2	159	2	159	2	159	2	159	2	159	2	159	3	159	5	159	5	159	5	159	5
160	2	160	2	160	2	160	2	160	2	160	2	160	3	160	4	160	4	160	5	160	4
161	2	161	2	161	2	161	2	161	2	161	2	161	3	161	3	161	3	161	4	161	2
162	2	162	2	162	2	162	2	162	2	162	2	162	3	162	3	162	3	162	4	162	2
163	2	163	2	163	2	163	2	163	2	163	2	163	3	163	3	163	3	163	4	163	2
164	2	164	2	164	2	164	2	164	2	164	2	164	3	164	3	164	3	164	4	164	2
165	2	165	2	165	2	165	2	165	2	165	2	165	3	165	3	165	3	165	4	165	2
166	2	166	2	166	2	166	2	166	2	166	2	166	3	166	3	166	3	166	4	166	2
167	2	167	2	167	2	167	2	167	2	167	2	167	3	167	3	167	3	167	4	167	2
168	2	168	2	168	2	168	2	168	2	168	2	168	3	168	3	168	3	168	4	168	2
169	2	169	2	169	2	169	2	169	2	169	2	169	3	169	3	169	3	169	4	169	2
170	2	170	2	170	2	170	2	170	2	170	2	170	3	170	3	170	3	170	3	170	2
171	2	171	2	171	2	171	2	171	2	171	2	171	2	171	2	171	2	171	2	171	2
172	2	172	2	172	2	172	2	172	2	172	2	172	2	172	2	172	2	172	2	172	2
173	2	173	2	173	2	173	2	173	2	173	2	173	2	173	2	173	2	173	2	173	2
174	2	174	2	174	2	174	2	174	2	174	2	174	2	174	2	174	2	174	2	174	2
175	2	175	2	175	2	175	2	175	2	175	2	175	2	175	2	175	2	175	2	175	2
176	2	176	2	176	2	176	2	176	2	176	2	176	2	176	2	176	2	176	2	176	2
177	2	177	2	177	2	177	2	177	2	177	2	177	2	177	2	177	2	177	2	177	2
178	2	178	2	178	2	178	2	178	2	178	2	178	2	178	2	178	2	178	2	178	2
179	2	179	2	179	2	179	2	179	2	179	2	179	2	179	2	179	2	179	2	179	2
180	2	180	2	180	2	180	2	180	2	180	2	180	2	180	2	180	2	180	2	180	2
181	2	181	2	181	2	181	2	181	2	181	2	181	2	181	2	181	2	181	2	181	2
182	2	182	2	182	2	182	2	182	2	182	2	182	2	182	2	182	2	182	2	182	2
183	2	183	2	183	2	183	2	183	2	183	2	183	2	183	2	183	2	183	2	183	2
184	2	184	2	184	2	184	2	184	2	184	2	184	2	184	2	184	2	184	2	184	2
185	2	185	2	185	2	185	2	185	2	185	2	185	2	185	2	185	2	185	2	185	2
