0-49	0-49	50-56	50-56	57-59	57-59	60-62	60-62	63-65	63-65	66-68	66-68	69-71	69-71	72-74	72-74	75-77	75-77	78-80	78-80	81-100	81-100
0.5	18	0.5	18	0.5	18	0.5	18	0.5	18	0.5	18	0.5	18	0.5	18	0.5	18	0.5	18	0.5	18
1	18	1	18	1	18	1	18	1	18	1	18	1	18	1	18	1	18	1	18	1	18
2	18	2	18	2	18	2	18	2	18	2	18	2	18	2	18	2	18	2	18	2	18
3	18	3	18	3	18	3	18	3	18	3	18	3	18	3	18	3	18	3	18	3	18
4	18	4	18	4	18	4	18	4	18	4	18	4	18	4	18	4	18	4	18	4	18
5	18	5	18	5	18	5	18	5	18	5	18	5	18	5	18	5	18	5	18	5	18
6	18	6	18	6	18	6	18	6	18	6	18	6	18	6	18	6	18	6	18	6	18
7	18	7	18	7	18	7	18	7	18	7	18	7	18	7	18	7	18	7	18	7	18
8	18	8	18	8	18	8	18	8	18	8	18	8	18	8	18	8	18	8	18	8	18
9	18	9	18	9	18	9	18	9	18	9	18	9	18	9	18	9	18	9	18	9	18
10	18	10	18	10	18	10	18	10	18	10	18	10	18	10	18	10	18	10	18	10	18
11	18	11	18	11	18	11	18	11	18	11	18	11	18	11	18	11	18	11	18	11	18
12	18	12	18	12	18	12	18	12	18	12	18	12	18	12	18	12	18	12	18	12	18
13	18	13	18	13	18	13	18	13	18	13	18	13	18	13	18	13	18	13	18	13	18
14	18	14	18	14	18	14	18	14	18	14	18	14	18	14	18	14	18	14	18	14	18
15	18	15	18	15	18	15	18	15	18	15	18	15	18	15	18	15	18	15	18	15	18
16	18	16	18	16	18	16	18	16	18	16	18	16	18	16	18	16	18	16	18	16	18
17	18	17	18	17	18	17	18	17	18	17	18	17	18	17	18	17	18	17	18	17	18
18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18	18
19	18	19	18	19	18	19	18	19	18	19	18	19	18	19	18	19	18	19	18	19	18
20	18	20	18	20	18	20	18	20	18	20	18	20	18	20	18	20	18	20	18	20	18
21	18	21	18	21	18	21	18	21	18	21	18	21	18	21	18	21	18	21	18	21	18
22	18	22	18	22	18	22	18	22	18	22	18	22	18	22	18	22	18	22	18	22	18
23	17	23	18	23	18	23	18	23	18	23	18	23	18	23	18	23	18	23	18	23	18
24	17	24	18	24	18	24	18	24	18	24	18	24	18	24	18	24	18	24	18	24	18
25	17	25	18	25	18	25	18	25	18	25	18	25	18	25	18	25	18	25	18	25	18
26	17	26	18	26	18	26	18	26	18	26	18	26	18	26	18	26	18	26	18	26	18
27	17	27	18	27	18	27	18	27	18	27	18	27	18	27	18	27	18	27	18	27	18
28	17	28	18	28	18	28	18	28	18	28	18	28	18	28	18	28	18	28	18	28	18
29	17	29	18	29	18	29	18	29	18	29	18	29	18	29	18	29	18	29	18	29	18
30	17	30	18	30	18	30	18	30	18	30	18	30	18	30	18	30	18	30	18	30	18
31	16	31	18	31	18	31	18	31	18	31	18	31	18	31	18	31	18	31	18	31	18
32	16	32	18	32	18	32	18	32	18	32	18	32	18	32	18	32	18	32	18	32	18
33	15	33	18	33	18	33	18	33	18	33	18	33	18	33	18	33	18	33	18	33	18
34	15	34	18	34	18	34	18	34	18	34	18	34	18	34	18	34	18	34	18	34	18
35	14	35	18	35	18	35	18	35	18	35	18	35	18	35	18	35	18	35	18	35	18
36	14	36	18	36	18	36	18	36	18	36	18	36	18	36	18	36	18	36	18	36	18
37	14	37	18	37	18	37	18	37	18	37	18	37	18	37	18	37	18	37	18	37	18
38	14	38	18	38	18	38	18	38	18	38	18	38	18	38	18	38	18	38	18	38	18
39	14	39	18	39	18	39	18	39	18	39	18	39	18	39	18	39	18	39	18	39	18
40	13	40	18	40	18	40	18	40	18	40	18	40	18	40	18	40	18	40	18	40	18
41	13	41	18	41	18	41	18	41	18	41	18	41	18	41	18	41	18	41	18	41	18
42	13	42	17	42	17	42	18	42	17	42	18	42	18	42	18	42	18	42	18	42	18
43	13	43	16	43	17	43	18	43	16	43	17	43	17	43	18	43	18	43	18	43	18
44	13	44	16	44	17	44	18	44	16	44	17	44	17	44	18	44	18	44	18	44	18
45	12	45	15	45	15	45	18	45	16	45	17	45	17	45	18	45	18	45	18	45	18
46	12	46	15	46	15	46	18	46	16	46	17	46	17	46	18	46	18	46	18	46	18
47	12	47	15	47	15	47	17	47	16	47	17	47	17	47	18	47	18	47	18	47	18
48	12	48	15	48	15	48	16	48	15	48	16	48	17	48	18	48	18	48	18	48	18
49	12	49	15	49	15	49	15	49	15	49	16	49	17	49	18	49	18	49	18	49	18
50	11	50	15	50	15	50	15	50	15	50	16	50	17	50	18	50	18	50	18	50	18
51	11	51	14	51	15	51	15	51	15	51	16	51	17	51	18	51	18	51	18	51	18
52	11	52	14	52	15	52	15	52	15	52	16	52	17	52	18	52	18	52	18	52	18
53	11	53	14	53	14	53	14	53	15	53	16	53	17	53	18	53	18	53	18	53	18
54	11	54	14	54	14	54	14	54	15	54	16	54	17	54	18	54	18	54	18	54	18
55	10	55	13	55	14	55	14	55	15	55	16	55	17	55	18	55	18	55	18	55	18
56	10	56	13	56	13	56	14	56	14	56	16	56	17	56	18	56	18	56	18	56	18
57	10	57	13	57	13	57	14	57	14	57	16	57	17	57	18	57	18	57	18	57	18
58	10	58	13	58	13	58	14	58	14	58	16	58	17	58	18	58	18	58	18	58	18
59	10	59	13	59	13	59	14	59	14	59	16	59	17	59	18	59	18	59	18	59	18
60	10	60	13	60	13	60	14	60	14	60	15	60	17	60	18	60	17	60	18	60	18
61	10	61	13	61	13	61	14	61	14	61	15	61	15	61	16	61	16	61	18	61	18
62	9	62	13	62	13	62	13	62	14	62	15	62	15	62	16	62	16	62	18	62	18
63	9	63	13	63	13	63	13	63	14	63	15	63	15	63	16	63	16	63	17	63	18
64	9	64	12	64	13	64	13	64	13	64	15	64	15	64	15	64	15	64	16	64	18
65	9	65	12	65	13	65	13	65	13	65	15	65	15	65	15	65	15	65	16	65	18
66	9	66	12	66	12	66	13	66	13	66	15	66	15	66	15	66	15	66	16	66	18
67	9	67	12	67	12	67	13	67	13	67	15	67	14	67	15	67	15	67	16	67	18
68	8	68	12	68	12	68	13	68	13	68	14	68	14	68	15	68	15	68	16	68	18
69	8	69	12	69	12	69	13	69	13	69	14	69	14	69	14	69	15	69	16	69	18
70	8	70	12	70	12	70	13	70	12	70	14	70	14	70	14	70	15	70	16	70	18
71	8	71	11	71	12	71	12	71	12	71	14	71	14	71	14	71	15	71	16	71	18
72	8	72	11	72	12	72	12	72	12	72	13	72	14	72	14	72	15	72	16	72	18
73	8	73	11	73	11	73	12	73	12	73	13	73	13	73	14	73	15	73	16	73	18
74	8	74	11	74	11	74	12	74	12	74	13	74	13	74	14	74	15	74	16	74	18
75	8	75	11	75	11	75	12	75	12	75	13	75	13	75	14	75	14	75	16	75	18
76	8	76	11	76	11	76	12	76	12	76	13	76	13	76	13	76	14	76	16	76	18
77	8	77	11	77	11	77	12	77	12	77	13	77	13	77	13	77	14	77	16	77	18
78	7	78	11	78	11	78	12	78	12	78	13	78	13	78	13	78	14	78	16	78	18
79	7	79	11	79	11	79	11	79	12	79	12	79	13	79	13	79	14	79	16	79	18
80	7	80	10	80	11	80	11	80	12	80	12	80	13	80	13	80	14	80	15	80	16
81	7	81	10	81	11	81	11	81	12	81	12	81	13	81	13	81	14	81	15	81	15
82	7	82	10	82	11	82	11	82	11	82	12	82	12	82	13	82	14	82	15	82	15
83	7	83	10	83	11	83	11	83	11	83	12	83	12	83	13	83	13	83	14	83	15
84	7	84	10	84	11	84	11	84	11	84	12	84	12	84	13	84	13	84	13	84	14
85	7	85	10	85	11	85	11	85	11	85	12	85	12	85	13	85	13	85	13	85	14
86	7	86	10	86	11	86	11	86	11	86	12	86	12	86	13	86	13	86	13	86	14
87	7	87	10	87	11	87	11	87	11	87	12	87	12	87	13	87	13	87	13	87	14
88	7	88	10	88	11	88	11	88	11	88	12	88	12	88	13	88	13	88	13	88	14
89	7	89	10	89	10	89	11	89	11	89	12	89	12	89	13	89	13	89	13	89	14
90	7	90	10	90	10	90	11	90	11	90	12	90	12	90	13	90	13	90	13	90	14
91	7	91	10	91	10	91	11	91	11	91	12	91	12	91	13	91	13	91	13	91	14
92	7	92	10	92	10	92	11	92	11	92	11	92	12	92	12	92	13	92	13	92	14
93	7	93	10	93	10	93	11	93	11	93	11	93	12	93	12	93	13	93	13	93	14
94	7	94	10	94	10	94	11	94	11	94	11	94	12	94	12	94	13	94	13	94	14
95	6	95	10	95	10	95	11	95	11	95	11	95	12	95	12	95	13	95	13	95	14
96	6	96	10	96	10	96	11	96	11	96	11	96	12	96	12	96	12	96	13	96	14
97	6	97	10	97	10	97	11	97	11	97	11	97	11	97	12	97	12	97	13	97	14
98	6	98	10	98	10	98	11	98	11	98	11	98	11	98	12	98	12	98	13	98	14
99	6	99	10	99	10	99	11	99	11	99	11	99	11	99	12	99	12	99	13	99	13
100	6	100	10	100	10	100	11	100	11	100	11	100	11	100	12	100	12	100	13	100	13
101	6	101	10	101	10	101	10	101	10	101	11	101	11	101	12	101	12	101	13	101	13
102	6	102	10	102	10	102	10	102	10	102	11	102	11	102	12	102	12	102	13	102	13
103	6	103	10	103	10	103	10	103	10	103	11	103	11	103	12	103	12	103	13	103	13
104	5	104	10	104	10	104	10	104	10	104	11	104	11	104	12	104	12	104	13	104	13
105	5	105	10	105	10	105	10	105	10	105	11	105	11	105	11	105	12	105	13	105	13
106	5	106	10	106	10	106	10	106	10	106	10	106	11	106	11	106	12	106	13	106	13
107	5	107	10	107	10	107	10	107	10	107	10	107	11	107	11	107	11	107	12	107	13
108	5	108	9	108	10	108	10	108	10	108	10	108	11	108	11	108	11	108	12	108	13
109	5	109	9	109	10	109	10	109	10	109	10	109	11	109	11	109	11	109	12	109	13
110	5	110	9	110	10	110	10	110	10	110	10	110	11	110	11	110	11	110	12	110	13
111	5	111	9	111	10	111	10	111	10	111	10	111	11	111	11	111	11	111	12	111	13
112	5	112	9	112	10	112	10	112	10	112	10	112	11	112	11	112	11	112	12	112	13
113	5	113	9	113	10	113	10	113	10	113	10	113	11	113	11	113	11	113	12	113	13
114	5	114	9	114	9	114	10	114	10	114	10	114	10	114	11	114	11	114	12	114	13
115	5	115	9	115	9	115	10	115	10	115	10	115	10	115	11	115	11	115	12	115	12
116	5	116	9	116	9	116	10	116	10	116	10	116	10	116	10	116	11	116	12	116	12
117	5	117	9	117	9	117	10	117	10	117	10	117	10	117	10	117	11	117	12	117	12
118	5	118	9	118	9	118	10	118	10	118	10	118	10	118	10	118	11	118	12	118	12
119	5	119	9	119	9	119	9	119	10	119	10	119	10	119	10	119	11	119	12	119	12
120	5	120	9	120	9	120	9	120	10	120	10	120	10	120	10	120	11	120	11	120	12
121	5	121	9	121	9	121	9	121	10	121	10	121	10	121	10	121	10	121	11	121	11
122	5	122	9	122	9	122	9	122	10	122	10	122	10	122	10	122	10	122	11	122	11
123	5	123	8	123	9	123	9	123	10	123	10	123	10	123	10	123	10	123	11	123	11
124	5	124	8	124	9	124	9	124	10	124	10	124	10	124	10	124	10	124	11	124	11
125	5	125	8	125	9	125	9	125	10	125	10	125	10	125	10	125	10	125	11	125	11
126	5	126	8	126	9	126	9	126	10	126	10	126	10	126	10	126	10	126	11	126	11
127	4	127	8	127	9	127	9	127	10	127	10	127	10	127	10	127	10	127	11	127	11
128	4	128	8	128	9	128	9	128	10	128	10	128	10	128	10	128	10	128	11	128	11
129	4	129	8	129	8	129	9	129	10	129	10	129	10	129	10	129	10	129	11	129	11
130	4	130	8	130	8	130	9	130	10	130	10	130	10	130	10	130	10	130	11	130	11
131	4	131	8	131	8	131	9	131	9	131	10	131	10	131	10	131	10	131	11	131	11
132	4	132	8	132	8	132	9	132	9	132	10	132	10	132	10	132	10	132	11	132	11
133	4	133	8	133	8	133	9	133	9	133	10	133	10	133	10	133	10	133	11	133	11
134	4	134	8	134	8	134	9	134	9	134	10	134	10	134	10	134	10	134	11	134	11
135	4	135	8	135	8	135	8	135	9	135	10	135	10	135	10	135	10	135	11	135	11
136	4	136	8	136	8	136	8	136	9	136	10	136	10	136	10	136	10	136	11	136	11
137	4	137	8	137	8	137	8	137	9	137	9	137	10	137	10	137	10	137	11	137	11
138	4	138	7	138	8	138	8	138	9	138	9	138	10	138	10	138	10	138	11	138	11
139	4	139	7	139	8	139	8	139	9	139	9	139	9	139	10	139	10	139	11	139	11
140	4	140	7	140	8	140	8	140	9	140	9	140	9	140	10	140	10	140	11	140	11
141	3	141	7	141	8	141	8	141	9	141	9	141	9	141	10	141	10	141	11	141	11
142	3	142	7	142	8	142	8	142	9	142	9	142	9	142	10	142	10	142	10	142	11
143	3	143	7	143	8	143	8	143	9	143	9	143	9	143	10	143	10	143	10	143	11
144	3	144	7	144	8	144	8	144	9	144	9	144	9	144	10	144	10	144	10	144	11
145	3	145	7	145	8	145	8	145	8	145	9	145	9	145	10	145	10	145	10	145	11
146	3	146	7	146	8	146	8	146	8	146	9	146	9	146	10	146	10	146	10	146	11
147	3	147	7	147	8	147	8	147	8	147	9	147	9	147	10	147	10	147	10	147	11
148	3	148	7	148	8	148	8	148	8	148	9	148	9	148	10	148	10	148	10	148	11
149	3	149	7	149	8	149	8	149	8	149	9	149	9	149	9	149	10	149	10	149	11
150	3	150	7	150	8	150	8	150	8	150	9	150	9	150	9	150	10	150	10	150	11
151	3	151	7	151	7	151	8	151	8	151	9	151	9	151	9	151	10	151	10	151	11
152	3	152	7	152	7	152	8	152	8	152	9	152	9	152	9	152	10	152	10	152	11
153	3	153	7	153	7	153	8	153	8	153	9	153	9	153	9	153	10	153	10	153	11
154	3	154	7	154	7	154	8	154	8	154	9	154	9	154	9	154	10	154	10	154	11
155	3	155	7	155	7	155	8	155	8	155	9	155	9	155	9	155	10	155	10	155	11
156	3	156	7	156	7	156	8	156	8	156	9	156	9	156	9	156	10	156	10	156	11
157	3	157	7	157	7	157	8	157	8	157	9	157	9	157	9	157	10	157	10	157	11
158	2	158	7	158	7	158	8	158	8	158	9	158	9	158	9	158	10	158	10	158	11
159	2	159	7	159	7	159	8	159	8	159	8	159	9	159	9	159	10	159	10	159	11
160	2	160	7	160	7	160	8	160	8	160	8	160	9	160	9	160	9	160	10	160	11
161	2	161	7	161	7	161	7	161	8	161	8	161	9	161	9	161	9	161	10	161	11
162	2	162	7	162	7	162	7	162	8	162	8	162	9	162	9	162	9	162	10	162	11
163	2	163	7	163	7	163	7	163	8	163	8	163	9	163	9	163	9	163	10	163	11
164	2	164	7	164	7	164	7	164	8	164	8	164	9	164	9	164	9	164	10	164	10
165	2	165	7	165	7	165	7	165	8	165	8	165	9	165	9	165	9	165	10	165	10
166	2	166	7	166	7	166	7	166	8	166	8	166	9	166	9	166	9	166	10	166	10
167	2	167	7	167	7	167	7	167	8	167	8	167	9	167	9	167	9	167	10	167	10
168	2	168	7	168	7	168	7	168	8	168	8	168	8	168	9	168	9	168	10	168	10
169	2	169	7	169	7	169	7	169	8	169	8	169	8	169	9	169	9	169	10	169	10
170	2	170	7	170	7	170	7	170	8	170	8	170	8	170	9	170	9	170	10	170	10
171	2	171	7	171	7	171	7	171	8	171	8	171	8	171	9	171	9	171	10	171	10
172	2	172	7	172	7	172	7	172	8	172	8	172	8	172	9	172	9	172	10	172	10
173	2	173	7	173	7	173	7	173	8	173	8	173	8	173	9	173	9	173	10	173	10
174	2	174	7	174	7	174	7	174	8	174	8	174	8	174	9	174	9	174	10	174	10
175	2	175	7	175	7	175	7	175	8	175	8	175	8	175	9	175	9	175	10	175	10
176	2	176	7	176	7	176	7	176	8	176	8	176	8	176	9	176	9	176	10	176	10
177	2	177	7	177	7	177	7	177	8	177	8	177	8	177	9	177	9	177	10	177	10
178	2	178	6	178	7	178	7	178	8	178	8	178	8	178	9	178	9	178	10	178	10
179	2	179	6	179	7	179	7	179	8	179	8	179	8	179	9	179	9	179	10	179	10
180	2	180	6	180	7	180	7	180	8	180	8	180	8	180	9	180	9	180	10	180	10
181	2	181	6	181	7	181	7	181	8	181	8	181	8	181	9	181	9	181	10	181	10
182	2	182	6	182	7	182	7	182	8	182	8	182	8	182	9	182	9	182	10	182	10
183	2	183	6	183	7	183	7	183	8	183	8	183	8	183	9	183	9	183	10	183	10
184	2	184	6	184	7	184	7	184	8	184	8	184	8	184	9	184	9	184	10	184	10
185	2	185	6	185	7	185	7	185	8	185	8	185	8	185	9	185	9	185	10	185	10
