	0-49					50-56					57-59					60-62					63-65					66-68					69-71					72-74					75-77					78-80					81-100				
2		83	209	498	556	0	93	308	680	730	0	93	308	680	730	0	93	415	740	784	0	104	415	742	838	0	104	415	742	838	0	104	270	793	876	0	104	270	793	876	0	93	260	793	876	0	94	227	794	877	0	103	222	874	968
3		82	208	497	555		83	273	622	710		83	273	622	695		83	308	680	730		93	223	740	784		74	270	740	832		93	260	742	838		93	260	742	838		79	226	725	832		93	226	793	876					
4		77	184	462	506		75	174	509	677		80	223	524	677		80	223	622	695		73	193	680	730		73	260	671	784		77	226	740	832		79	226	725	832		78	221	697	767							102	221	873	967
5	0	65	165	443	479		63	134	452	547		63	127	483	552		64	127	483	563		63	123	515	565		63	184	524	630		69	184	623	736		72	184	623	736		69	166	623	736		78	166	697	736		79	140	709	782
6	1	57	143	326	428		54	104	372	481		54	103	416	513		57	109	431	529		61	109	460	538		57	115	463	559		61	110	519	591		61	116	550	641		59	109	571	641	1	61	116	595	662	1	77	118	600	711
7		49	111	296	371	1	48	83	349	414	1	48	81	357	419	1	49	84	369	445	1	50	81	382	459	1	49	96	396	479	1	51	94	452	541	1	51	94	483	562	1	50	94	506	579		50	98	510	601		57	106	571	634
8	2	44	94	247	324	2	42	71	317	368	2	41	66	320	373	2	42	66	331	378	2	46	66	341	413	2	42	80	354	434	2	45	80	372	459	2	45	79	410	481		45	80	443	498		43	83	473	541	2	46	89	499	576
9	3	37	80	228	293		34	54	267	334		35	55	267	329		36	54	277	331		37	54	281	344		36	66	310	377		38	66	335	407		39	66	350	433	2	40	67	354	443	2	40	73	407	481		40	73	407	474
10	4	29	58	195	268	4	24	42	222	276	3	27	42	234	283	3	27	41	234	286	3	28	44	244	308	4	27	48	243	319	4	29	49	268	329	3	32	51	274	335	3	31	53	288	354	3	32	60	301	392	3	29	62	303	395
11	5	22	38	166	223	5	19	35	176	240	4	22	35	199	256	4	22	35	199	256	4	24	37	215	276		21	42	214	267		23	43	216	277	4	26	45	239	298	4	26	43	251	311	4	26	51	272	330		26	49	272	354
12		19	32	146	197		14	30	157	206	5	17	32	173	226	5	18	31	174	213	5	19	32	182	244	5	17	32	180	242	5	18	37	181	242	5	20	40	203	257	5	20	39	214	261		22	42	251	306	5	22	41	251	307
13	7	13	25	128	179	6	11	21	139	190	6	14	26	156	202		14	26	154	202	6	14	28	169	207	6	14	28	169	205	6	14	30	171	205	6	16	31	180	230	6	14	33	186	239	6	16	34	214	256		18	35	237	298
14		9	21	107	156	7	6	15	125	171		11	17	137	192	6	11	20	144	190		11	22	150	191		10	24	153	191		10	24	153	191		11	25	171	203		12	29	172	216		13	30	189	230	6	13	31	214	282
15	8	7	18	90	133		4	13	115	147	7	6	14	128	187		9	15	128	172	7	7	18	130	172	7	7	18	135	184	7	7	22	135	184	7	8	22	160	192	7	8	24	166	196		9	29	172	218		11		203	256
16		4	16	82	122	8		11	100	127		5	12	125	182	7	6	14	127	154		6		128	154				130	172			18	130	172		7		158	189		7	22	160	186	7	7	26	144	186	7	9	30	189	252
17	9	2	13	56	118	9			93	110	8	4	9	115	147		5	12	125	147		5	16	127	147		6	16	127	154		6		127	154	8		18	152	186	8		18	144	184										
18	10	0	0	0	0	10	0	0	0	0	10	0	0	0	0	10	0	0	0	0	10	0	0	0	0	10	0	0	0	0	10	0	0	0	0	10	0	0	0	0	10	0	0	0	0	10	0	0	0	0	10	0	0	0	0
																																																							
